,Name,Company,City,Location,Url,JOB_INFO
0,Business Analyst - Data Management, Genpact,Gurgaon,Gurgaon,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=477713&s=58&guid=00000170cffbaafba9853bb1bf47e631&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_aa135a6b&cb=1584037342155&jobListingId=3455446998,"With a .startup spirit and 90,000 curious and courageous minds, we have the expertise .to go deep with the world’s biggest brands—and we have fun doing it. Now, we’re .calling all you rule-breakers and risk-takers who see the world differently, .and are bold enough to reinvent it. Come, transform with us. .Inviting .applications for the role of .Business Analyst ., .Data Management .& Reporting .Responsibilities .Understand .the communicated requirements and perform adhoc’s testing and performing .reconciliations on the developed report to ensure the accuracy of desired .output. .Performing .Program Reconciliation Reports and maintaining Audit artifacts .Working .on process change requests on steady state reports with attention to .reconciliation expectations and co-coordinating with different teams and .PA’s (Program administrators) to seek issues .Document .preparation (SOP) for developed reports to share with team members and .must be able to own the responsibilities assigned and manage/prioritize .them based on due dates and task demands. .Work .on fixing any Errors/Fall out transactions before month end close and .testing of movement of data between different servers. .Develop .an understanding on available SQL scripts/stored procedures in the process .and fine-tune them whenever necessary after coordinating with Onshore .team. .Qualifications we seek in .you .Minimum .qualifications .Graduate .in B.Tech , BCA .Any .Graduates with experience on Testing Profiles and working with Insurance .Industry .Preferred Skill Set .Ability .to write and understand SQL queries. Proficiency in SQL Server .Proficient .in Advance Excel and MS Access with some VBA knowledge. .Domain .Knowledge – Should have significant knowledge of working in NAS/US .Insurance Industry .Exposure .to Finance, Actuarial or Claims which general focus on report creation, .testing and review. .Excellent .interpersonal skills with analytical mind set .Genpact is .an Equal Opportunity Employer and considers applicants for all positions .without regard to race, color, religion or belief, sex, age, national origin, .citizenship status, marital status, military/veteran status, genetic .information, sexual orientation, gender identity, physical or mental disability .or any other characteristic protected by applicable laws. .Genpact is committed to creating a .dynamic work environment that values diversity and inclusion, respect and .integrity, customer focus, and innovation. For more information, visit .www.genpact.com. Follow us on Twitter, Facebook, LinkedIn, and YouTube."
1,Junior Data Analyst, GroundTruth,Gurgaon,Gurgaon,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=890894&s=58&guid=00000170cffbaafba9853bb1bf47e631&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_feaaa151&cb=1584037342157&jobListingId=3510585179,"Role: Hiring Junior Data Analyst .Location: Gurgaon, India .GroundTruth is the leading global location platform that leverages data and insights to drive business performance. Using its proprietary Blueprints technology, GroundTruth is able to learn about mobile users and reach them at the right place and right time, ultimately helping companies make smarter marketing decisions, increase sales, and grow their businesses. Since its foundation in 2009, GroundTruth has launched several innovative products and won numerous awards, including Inc. 5000’s Fast Growing Private Companies and Deloitte's Fast 500 Technology companies. Today, we're proud to employ over 400 employees across three continents and serve millions of marketers across 21 countries. Learn more: www.groundtruth.com .This will be an exciting and challenging role that will enable you to work with very large data sets, expose you to cutting edge analysis techniques, work with the latest components in cloud architecture and gain experience in the usage of location data to drive businesses. As an early member you will have significant opportunities for growth within the organization. A successful applicant will be passionate about technology and developing a deep understanding of human behavior in the real world. They would also have excellent communication skills, be able to synthesize and present complex information and be a fast learner. .You will: .• Learn about location-driven marketing and how companies are using location signals to drive their business .• Work closely with marketing, growth strategy and sales teams based out of our offices in USA, UK, Germany .• Develop re-usable tools and templates to quickly create data driven narratives .• Gather requirements, design analyses, identify data sources and define measurement metrics to present insights and recommendations for ready consumption .• Be responsible for managing your work pipeline and creating re-usable analysis and documentation .You have: .• BA/BSc/B.E./BTech degree in Computer Science, Statistics, Mathematics, Economics, Physics or related fields .• 1-2 years of experience in working with data and conducting statistical and/or numerical analysis .• Strong understanding of how data can be stored and accessed in different structures .• Experience with writing computer programs to solve problems .• Strong understanding of data operations such as sub-setting, sorting, merging, aggregating and CRUD operations .• Ability to write SQL code and familiarity with R/Python, Linux shell commands .• Be willing and able to quickly learn about new businesses, database technologies and analysis techniques .• Ability to tell a good story and support it with numbers and visuals .• Strong oral and written communication .• .How you can impress us: .• Experience working with large datasets .• Experience with AWS analytics infrastructure (Redshift, S3, Athena, Boto3) .• Experience building analytics applications leveraging R, Python, Tableau, Looker or other • Experience in geo-spatial analysis with POSTGIS, QGIS .We operate in a fast paced, dynamic environment where everyone on the team is committed to the success and growth of GroundTruth. Our culture is highly entrepreneurial and our success comes from our employees who voice their opinions and ideas to facilitate growth to our bottom line. We reward hard work, support career development, offer comprehensive benefits, and foster a fun and friendly work environment. .We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status"
2,Data Operations Analyst - Workforce Analytics, FIS,Gurgaon,Gurgaon,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=875758&s=58&guid=00000170cffbaafba9853bb1bf47e631&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_b0be53d1&cb=1584037342158&jobListingId=3471191024,"Position Type .Full time - Regular .Type of Hire .Entry Level (No Experience Required) .Education Desired .Bachelor of Computer Science .Travel Percentage .0% .Job Description .At FIS, youll have the opportunity to work on some of the most challenging and relevant issues in financial services and technology. Our talented people empower us, and we believe in being part of a team that is open, collaborative, entrepreneurial, passionate and above all fun. .About the team .The global Workforce Planning and Analytics team focuses on understanding strategic business initiatives and connecting them to talent opportunities. More specifically, were focused on using data to measure how well we attract, develop and retain the right people, in the right places, at the right time. .What you will be doing .The Workforce Planning and Analytics team uses data to measure how successfully we attract, develop, engage and retain our people across a global landscape. As part of the team, you will provide operational and technical support of systems and processes used to maximize a self-service people analytics model and perform ad-hoc analysis as needed. .Proactively manage user security roles for Visier, FIS global people analytics tool including new user setup, quarterly recertification and ongoing maintenance of existing user profiles .Monitor and respond to Visier user email inquiries .Support deployment of key data projects to stakeholders .Create and deploy custom analysis in Visier for broader user groups .Perform recurring and ad-hoc data analysis using Visier, Excel and other tools .Assist in the research, escalation, and resolution of data integrity issues .Meet with internal Visier users and collaborate with broader Workforce Analytics team to capture people data analysis requirements Other related duties assigned as needed .What you bring: .Experience creating, implementing and managing procedures and best practices .Excellent customer service and problem solving .2+yrs of experience in creating dashboards that report progress against key performance indicators .Ability to translate data into actionable insights by converting it to presentation ready visualizations .Experience extracting, inspecting, cleansing, transforming, and modeling relevant data with the goal of discovering useful information, informing conclusions, and supporting decision-making .Extensive/ advanced Excel experience .Exceedingly detail oriented, organized and accurate .Ability to explain complex concepts to non-technical team members .Ability to work under pressure and meet strict deadlines and collaborate across teams to achieve a common goal .Ability to identify areas to improve efficiency in how data is collected and used across teams .Excellent oral and written communication skills .Added bonus (If Any) .Experience with Visier, SQL, PowerBI, (or other data visualization tools) is desired but not required .Knowledge of HR concepts and systems is desired but not required .What we offer you .A multifaceted job with a high degree of responsibility and a broad spectrum of opportunities .A broad range of professional education and personal development possibilities .A competitive salary and benefits. .A variety of career development tools, resources and opportunities .Privacy Statement .FIS is committed to protecting the privacy and security of all personal information that we process in order to provide services to our clients. For specific information on how FIS protects personal information online, please see the Online Privacy Notice. .Sourcing Model .Recruitment at FIS works primarily on a direct sourcing model; a relatively small portion of our hiring is through recruitment agencies. FIS does not accept resumes from recruitment agencies which are not on the preferred supplier list and is not responsible for any related fees for resumes submitted to job postings, our employees, or any other part of our company."
3,Data Analyst, TBO Group,Gurgaon,Gurgaon,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=437149&s=58&guid=00000170cffbaafba9853bb1bf47e631&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_b82b9cf9&cb=1584037342159&jobListingId=3200289726,"Data analysts translate numbers into simple readable statics, every business collects data, whether it's sales figures, market research, logistics, or transportation costs. A data analyst's job is to take that data and use it to help companies make better business decisions. .Analytical Skills: .Data analysts work with large amounts of data: facts, figures, and number crunching. You will need to see through the data and analyse it to find conclusions. .Communication Skills: .Data analysts are often called to present their findings, or translate the data into an understandable document. You will need to write and speak clearly, easily communicating complex ideas. Demonstrates good communication skills. .Critical Thinking: .Data analysts must look at the numbers, trends, and data and come to new conclusions based on the findings. .Attention to Detail: .Data is precise. Data analysts have to make sure they are vigilant in their analysis to come to correct conclusions. .Math Skills: .Data analysts need math skills to estimate numerical data. .Programming Skills: .This role requires an understanding of programming logic, although no experience with a specific programming language is required. Familiarity with SQL will be an important part of the data analyst role. .Educational Requirements: .Bachelors of Science in any related fields. .Overall Knowledge/Skills/Abilities: .Must have strong analytical skills and an understanding of system databases, data elements, and application software solutions to maximize data gathering and data analysis. .Have the ability to interpret their intent and application. Demonstrates the ability to handle a variety of responsibilities under pressure. Must be able to function independently."
4,Data Analyst, Adidas,Gurgaon,Gurgaon,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=437149&s=58&guid=00000170cffbaafba9853bb1bf47e631&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_3c00fa46&cb=1584037342160&jobListingId=3461660957,"Key Responsibilities: .Analytics • Undertakes analytical activities and delivers analysis outputs, in accordance with customer needs and conforming to agreed standards. .Data modelling and design • Applies data analysis, design, and modelling techniques to establish, modify or maintain a data structure and its associated components (entity descriptions, relationship descriptions, attribute definitions). .Data Visualization • Applies a of variety visualization techniques and designs the content and appearance of data visuals. • Operationalizes and automates activities for efficient and timely production of data visuals. • Selects appropriate visualization approach from a range of applicable options. • Contributes to exploration and experimentation in data visualization. .Programming/software development • Designs, codes, verifies, tests, documents, amends and refactors simple programs/scripts. • Applies agreed standards and tools, to achieve a well-engineered result. Reviews own work.Key Relationships: • Global IT • Respective business function (GOPS, Finance, HR, Brand Marketing, Wholesale/Retail) • Digital .Requisite Education and Experience / Minimum Qualifications: .• Four-year college or university degree with focus on Business Administration or IT or related areas, or equivalent combination of education and experience • Proficient spoken and written command of English • At least 3-year experience in IT • 1 year of experience in relevant area"
5,Data Analyst, SocialDoor,Gurgaon,Gurgaon,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=437149&s=58&guid=00000170cffbaafba9853bb1bf47e631&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_ca34ae3b&cb=1584037342160&jobListingId=3200041135,"Requirements .Love problem solving. .Strong quantitative analysis skills-design analyses, interpret results, and communicate findings. .Critical thinking: .distill complex data into few key findings, and identify technical or statistical considerations for more accurate and nuanced conclusions. .Proficiency with statistical methods and practical applications, including experience with exploratory data analysis, inference, and experimental design. .Excellent written and spoken communication skills. .Deep interest in technology and startups. .Track record of learning new skills and putting them to use immediately. .Self-driven and effective in an unstructured environment. .Sense of ownership and pride in your performance and that of the company."
6,Data Analyst, Stigasoft,Gurgaon,Gurgaon,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=437149&s=58&guid=00000170cffbaafba9853bb1bf47e631&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_b058fc65&cb=1584037342161&jobListingId=3201489971,"We are looking for Data Analyst with good experience in collecting , analysing and curating game data. .Job Description .Candidate who are passionate about online games and have a deep understanding of games on a variety of Platform from PC to mobile. .Responsible for collecting, analysing and organising game and user specific data .Compile , Sort and verify the accuracy of data .Candidate who is interested in games like Counter Strike, League of legend, Dota 2 is highly preferable. .Open to work in rotational shift .No of Position(s) .2 .Experience .0-1years .Industry Type .IT Software - Application Development .Functional Area .Software Services .Education .Graduate .PG Diploma .Location .Gurgaon .Keywords .Data Analyst .Telephone .+91 124 4703906 .Remuneration (p.a) .4Lakhs .Reference .Data Analyst- 20916"
7,"Data Analyst, APAC", Criteo,Gurgaon,Gurgaon,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=719222&s=58&guid=00000170cffbaafba9853bb1bf47e631&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_3a7f516c&cb=1584037342162&jobListingId=3476790817,"Who we are .Criteo (NASDAQ: CRTO) is the global technology company powering the worlds marketers with trusted and impactful advertising. 2,800 Criteo team members partner with over 20,000 customers and thousands of publishers around the globe to deliver effective advertising across all channels, by applying advanced machine learning to unparalleled data sets. Criteo empowers companies of all sizes with the technology they need to better know and serve their customers. .About the role .Criteo is in search of a passionate, highly motivated Data Analyst to join our APAC Data Science & Analytics team in Gurgaon, India. You will turn business requests into data problems and tackle them in a scalable and efficient way, working together with analyst teams across the APAC region. Aside from solving business challenges, this position also involves technically rigorous work, including the use of SQL, Excel, Hive, Python, and other leading-edge data tools. .We are looking for a team player who is both business-driven and highly analytical. He or she will work with cross-functional business units (Account Strategy, Sales, Marketing, Technical Solutions, Central Analytics) to translate data solutions into business solutions. The ideal candidate will be able to take a recurrent business need and look for ways to address it in a automated and scalable way, both through process optimization and creation of dedicated tools. .What You'll Do .Develop a deep knowledge of Criteos technology, products, and position in the marketplace .Project manage and lead the prioritization of business projects and technical projects .Provide insights to solve operational problems and actively look for opportunities for scaling analyses and tools across different business units .Leverage Python and SQL to answer commercial requests .Own and maintain reports/tools in Tableau, Python and other data tools .Conduct ad-hoc analysis, problem-solving, and troubleshooting .What You'll Need .Bachelors degree or higher in a quantitative/business field (Mathematics, Statistics, Engineering, Economics, Business, Finance, etc.) .At least 2 years of work experience .Strong intellectual curiosity and ability to structure and solve difficult problems with minimal supervision .Real Interest in internet advertising technology & the role of marketing channels .Excellent technical skills: strong SQL and basic Python are a must .Fluent in English .Experience in any of the following is a plus: R, Tableau, Hive/Hadoop, Vertica .Knowledge in agency or digital marketing is a plus .At Criteo, we dare to be different. We believe that diversity fuels innovation and creates an energy that can be seen and felt all over Criteo. We champion different perspectives and are committed to creating a workplace where all Criteos are heard and feel a sense of belonging. .Criteo collects your personal data for the purposes of managing Criteo's recruitment related activities. Consequently, Criteo may use your personal data in relation to the evaluation and selection of applicants. Your information will be accessible to the different Criteo entities across the world. By clicking the ""Apply"" button you expressly give your consent."
8,Data Analyst, Hike,New Delhi,New Delhi,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=14295&s=58&guid=00000170cffbaafba9853bb1bf47e631&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_3a16fa0d&cb=1584037342163&jobListingId=3501337994,"A New Social Future .How is it that in a world that's evolving so quickly that social products still feel the same? Strangely enough, we're still using products that were invented in the 2G era. There seems to be an emptiness with the current experience and today's products are built to force humanity to be superficial. .We'd like to change that. .With the advancements in technology, so much more is possible today that wasn't even possible, just a few years ago. We believe the timing couldn't be better. .6 Principles .We’re thoughtful about why we do things and here are 6 principles guiding our thinking: .Advancements in Tech & AI .: Allowing more bits to be pushed to users in real-time and thus allowing far richer, more personalised experiences. .Bits Cheaper than Atoms .: Today, bringing rich, luxurious experiences to the masses is faster, more efficient and cheaper online than it is offline. .Self Worth Moving Online .: 40% of people's waking life is now spent on their smartphones. The next generation is far more comfortable online than offline. .Vertical Communities .: We don't live our lives in one massive community. We're specific in the activities we engage in (art, gaming, fitness etc). .New Business Models .: Putting customer at the centre. These won't be ad-driven in the traditional sense. Think micro-transactions, subscriptions and more. .Consumers as Owners .: It's a bit strange that consumers aren't part of the value chain. Turning customers into owners is a fascinating thought. .Build Magical Things .It’s so clear to us that technology evolves but people stay the same. We’re solving for a core human need - social connection and with all the evolution in technology, today we can solve for that in brand new ways. .At our core, we’re a creative company. Ideas and pixels is where we live and we love building magical products that make our users feel ‘wow’ inside. It’s not just about features, it’s also about how they make people feel. We build at the intersection of the scientific and the romantic. .And it all starts with people, the right team that cares deeply about our mission, values and our users. At hike, you'll have the chance to do the best work of your life. .Come join us and shape the future of social. .The Hike Code .We’re on a journey to build something new, something different and making anything innovative & new requires the ability to surrender to the unknown. The Hike Code is our value system. It is our guide to navigate through the unknown to build incredible products. Here they are: .Top Talent in Every Role .: We look for people with an incredible intellect. Both skills and values are important to us. .Pro-Sports Team .: Strengths based, results driven with a ""team-first"" attitude .Customer at the Centre .: Everything we do is inspired by how can we better solve for our customer. .Constant Innovation .: It's our DNA to walk into the unknown in search of having meaningful impact. .Act Like Owners .: We own the output of what we do, even if it's explicitly not our job. .Thoughtful Decision Making .: Clear Mind + Obsession to Simplify + Data Driven. We strive to be thoughtful. .Always be Hustling .: We understand that success is not one big leap but tiny gains compounding over time #ABH. .Be Open Minded & Coachable .: We have a quest to continuously #RiseUp to be the best version of ourselves. .Role .If you've made it till here, you're probably still interested in the role :) .As a Data Analyst, you will: .Perform quantitative analyses that translate data into actionable insights and provide analytical, data-driven decision-making support for key projects. .Provide reporting and performance monitoring to product teams using data drawn from diverse sources. .Own and evangelize data-driven experimentation in the team to improve the product offerings, and document it. .Enable product reviews, deep dives and analyses through the effective use of data and communicate and report insights and recommendations to shape product strategy. .Ensure that any data required for carrying out the other responsibilities for the product/features you’re working on is properly instrumented and logged. .Requirements .Sounds Like You? .You have a Bachelor’s degree in Math, Statistics, Comp Science, Engineering, or other technical field required; advanced degrees strongly preferred. .You are hands on with Python/ Java Programming language. .You have a very good understanding of mobile and Internet products, growth strategies and business dynamics. .You are comfortable manipulating, transforming, and analysing complex, high-volume, high-dimensionality data from varying sources. .You have 3+ years experience performing quantitative analysis, preferably for an Internet or technology company. .You have hands-on working experience on SQL queries. .You have experience in reporting and dashboards involving very large datasets and multiple data sources, with the ability to interpret data and produce meaningful insights. .You have good understanding of statistical analysis, data warehousing, data modelling. .You have experience with statistical packages such as SPSS, SAS etc. and BI/visualisation tools such as Tableau, Google Analytics etc. .You have ability to execute research projects and craft actionable recommendations. .You have proven ability to work in a fast-paced environment, meet changing deadlines and priorities on multiple simultaneous projects. .You have excellent organisational, communication, presentation and interpersonal skills. .You enjoy working in both individual and team settings. .Benefits .A flat and transparent culture .Flexible working hours - No fixed Checkin/Checkout .Unlimited Snacks, food, and drinks on the house .Tools of the trade - MacBook, Latest Softwares .Monthly Communication Reimbursement .Best learning and development opportunities .A chance to have a big impact early in your career .At Hike, we value diversity. We are an equal opportunity employer: we do not discriminate on the basis of race, color, religion, gender, ethnicity or disability status."
9,Data Analyst, Midland Credit Management,Gurgaon,Gurgaon,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=799102&s=58&guid=00000170cffbaafba9853bb1bf47e631&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_f54d4cee&cb=1584037342164&jobListingId=3525633869,"Here at MCM, we recognize and value success: for our consumers, for our communities, for you as an individual, and for us as a team. We support your career aspirations and provide the benefits you need to live the fulfilling life you want. You make a difference for us through your attitude and achievements and we will always strive to make a difference for you. Be part of MCMs amazing journey, where your success is valued! .The Sr analyst will be primarily responsible for working closely with business users and Analytics team members to understand requirements and develop high quality actionable data-driven solutions. He/She will be the First point of contact for reporting/data management needs and will be responsible to drive complex data analysis and propose improvement opportunities in existing tools and reports. The Data analyst / Sr Data Analyst will be responsible to establish best practices in data management, data visualization and report distribution. .PRINCIPAL RESPONSIBILITIES .Design, Development and enhancement of complex business reports independently with high degree of accuracy and timeliness.Leverage different tools and technologies like SAS, SQL, Advanced Excel and BI reporting tools to develop reports for automation and distribution of reports.Migration of reports as the company adopts new technologies like Power BI, SSRS and SSAS - 40% .Develop SAS programs to load raw data from different databases, apply complex business logic and generate curated data-sets to be used by business users for reporting and decision-making. Develop tools or interactive applications using VBA and advanced Excel to automate manual processes- 30% .Supporting complex business data analysis needs by understanding requirements and converting into technical deliverables. Leverage data warehouse and other data sources to answer business queries.- 20% .Develop and maintain documentation for all processes including SOPs, Code inventory etc.- 10% .REQUIRED SKILLSET .Education .Degree :Bachelor .Field of Study :Engineering,Computer Science .Experience :2-4 years in IT / ITES .Technical Skills: SAS / SQL / VBA / Excel .Other Skills :Good communication (Written and Verbal) ,Ability to quickly grasp new technologies,Logical Thinking,Analytical ability .Languages: English .PREFERRED SKILLSET .Degree: Master or Advanced .Field of Study :Engineering, Computer Science .Experience:Incl. experience on Financial services / Call Center domains .Technical Skills :Familiarity with DW concepts and BI environment,Knowledge of MS BI reporting stack - Power BI, SSRS, SSAS .Position Status .Full time .Established in 1953, Midland Credit Management, Inc. (MCM), a wholly-owned subsidiary of Encore Capital Group, Inc., is a specialty finance company providing debt recovery solutions for consumers across a broad range of assets. We are the market leader in portfolio purchasing and recovery in the United States, and we lead the industry with consumer-centric practices that drive results. We have operations in India, Costa Rica, and 35 US Sites."
