,Name,Company,City,Location,Url,JOB_INFO
0,Data Analyst, Parexel,Hyderabad,Hyderabad,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=713463&s=58&guid=00000170cffb93d08d666d7298f33d35&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_9e44e8ab&cb=1584037336237&jobListingId=3483109564,"• Development of a clinical trial standard and custom exports and reports leveraging ORACLE SQL, SAS Base, SAS EG while working closely with Requirement Analysts to follow specifications and client's and across industry standards. .• Write and implement Installation Qualifications for deployment and running of reports and exports within the testing and production environments .• Assist in developing QC procedures to identify data anomalies .• Assist in creating deployment standards and configurations that support automated integration points .• Adhere to all standard operating procedures of Perceptive Informatics. .• Adhere to applicable regulatory requirements (21CFR Part 11, GCP, etc.) .Qualifications .• Excellent interpersonal, verbal and written communication skills .• Client focused approach to work .• A flexible attitude with respect to work assignments and new learning .• Ability to manage multiple and varied tasks with enthusiasm and prioritize workload with attention to detail .• Willingness to work in a matrix environment and to value the importance of teamwork .• Solid understanding of relational database concepts .• 2 years SQL exposure within Oracle, DB2, or SQL Server (Oracle preferred) .• Must be very organized and have the ability to multi-task .• 2+ years working with SAS statistical software. SAS Base, SAS EG platforms. .• SAS language including proficiency with DATA step, PROC SQL, MACRO engine. .• Experience with CDISC SDTM standard (domain definition and controlled terminology) is preferred .• Experience working within a formal SLDC is preferred .• Customer support experience is preferred .• FDA 21 CFR Part 11 knowledge is preferred .• B.S. degree in Computer Science, Engineering or computer-related program"
1,Data Analyst, Cotiviti,Hyderabad,Hyderabad,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=825526&s=58&guid=00000170cffb93d08d666d7298f33d35&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_7728b181&cb=1584037336238&jobListingId=3323907857,"The healthcare landscape is rapidly changing, and we are looking for a person that wants to help lead that change. We are looking for a person that wants to work in a fast-paced environment where the collective team emphasis is to generate market driven solutions that work. .The Data Analyst II position helps provide detail analytics for specific ASG healthcare solutions. You will be working with Medicare, Medicaid, and Commercial data as well as a variety of other reference data sources. This position requires that you are a data guru– you will have an uncanny ability to tie disparate data sources together. Because of the tightness of our team, you will be a subject matter expert on our data, processes, and business methodologies. You will be responsible for data acquisition, critical analytics, project design and analysis, code development and testing of ad hoc or standard reports to support effective and rapid decision making. You will also ensure that consistent documentation is developed and actively maintained throughout all phases of work. .Principal Responsibilities and Essential Duties: .· Assist with the development and deployment of predictive and/or machine learning modeling processes .· Design innovative analytic methods that improve the accuracy or efficiency of our analytic and reporting processes .· Identify opportunities in the development of new capabilities that increase the value added to our clients .· Meet with users to gather requirements for project definition. Analyze existing procedures to identify system/process changes needed to meet such requirements .· Assist in testing of deliverables to ensure that requirements are accurately met .· Be responsible for the design, analysis, development and testing of ad hoc or standard analytics/reports to support effective and rapid decision making .· Assist in determining and monitoring of quality measures for reporting and analytics processes .· Ensure that consistent documentation is developed and actively maintained throughout all phases of work including but not limited to: Process overviews, Reporting Inventory, Business Requirements, Technical Requirements, Report Workbooks, and Release Checklists. .· .Completes all responsibilities as outlined on annual Performance Plan. .Completes all special projects and other duties as assigned. .Must be able to perform duties with or without reasonable accommodation. .Requirements: .· Minimum of 5-8 years of experience analyzing and manipulating Healthcare data, including general knowledge of medical procedures, health conditions and provider practices .· Experience with open source analytic software a significant plus .· Ability to work in a SAS, SQL, R or other understood analytic environment .· Experience with data mining tools .· Thorough knowledge of Medicare Risk Model and CMS guidelines .· Data manipulation skills using database and spreadsheet applications .· Working knowledge of database applications, including extraction and querying skills. Proficient using SQL to extract data, SAS experience, a plus .· Experience analyzing raw data, with ability to think logically and process sequentially with a high level of detailed accuracy .· Problem solver, resourceful, quick learner .· Strong written and verbal communication skills and discipline to multitask and prioritize projects to meet scheduled deadlines .· Professionally interact with a diverse group of stakeholders including executives, managers, clients and subject matter experts .· Master’s degree in an Allied Health, Analytics/Informatics, Computer Science, Programming or equivalent work experience"
2,Data Analyst, Synopsys,Hyderabad,Hyderabad,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=907252&s=58&guid=00000170cffb93d08d666d7298f33d35&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_5ad07eb4&cb=1584037336239&jobListingId=3420974245,"Business Title .Data Analyst .20-Nov-2019 .Requisition Number .23850BR .Job Description and Requirements .SNPS Finance is seeking to expand its data analytics and visualization capabilities with a focus on financial analytics to identify risks and opportunities that will drive growth and profitability. This role is part of the Corporate FP&A team and will work closely with partners across Finance, the Business Units and the Corporate Functions to develop and enhance actionable management dashboards and analysis. .The individual in this role designs, develops and programs methods, processes, and systems to consolidate and analyze structured and unstructured “big data” sources to generate actionable insights and solutions for internal clients. Interacts with cross-functional stakeholders to identify questions and issues for data analysis and experiments. Develops and codes, algorithms and automated processes to cleanse, integrate, evaluate and present large datasets from multiple disparate sources. Identifies meaningful insights from large data and metadata sources; interprets and communicates insights and findings from analysis and experiments to internal stakeholders at various levels. .Qualifications: .· Bachelor's degree in statistics, mathematics, computer science or other related field. 7+ years professional experience, Finance experience desired. Advance degree a plus. .· Highly proficient in MS Excel (Macros, VB) and using data analytics and business intelligence tools such as SAP Lumira, SAC analytics, SAP BW, SAP ECC, Tableau, Python, R, R Studio, SQL, and MS Office products, .· Experience in working with large unstructured datasets, helping define business problems or objectives and successfully designing and executing analytics solutions; .· Proficient in statistical programming and modeling; .·Strong written, verbal and visual communication skills .· Experience working in globally disbursed project teams and flexible timings .· Highly organized, energetic, self-driven, and self-motivated; .Hiring Location .INDIA - Hyderabad .Hire Type .Employee .Job Category .Business Development .Country .India"
3,"Nutrition Data Analytics & Reporting, Analyst", PepsiCo,Hyderabad,Hyderabad,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=826743&s=58&guid=00000170cffb93d08d666d7298f33d35&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_17c389be&cb=1584037336240&jobListingId=3505669536,"Auto req ID: .203995BR .Job Description .Job Accountabilities - .Support the analysis and reporting of PEP nutrition data of Top 26 markets against internal and external benchmarks. .Partner with nutrition data team to develop quality control processes .Provide data support to manager to enable him/her in identification of business-related insights and opportunities based on portfolio analysis .Provide required data to stake holders basis the ongoing assessment & to help them deliver against their objectives .Develop standardized reports to satisfy most customer requirements ensuring nutrition data management team identifies gaps and opportunities in nutrition data collection to maximize analytical capabilities .Collaborate with IT partners to optimize tools for analytics and reporting. .Ensure providing required inputs for optimization of tools and processes enabling greatest efficiency and effectiveness .Ensure ongoing business requirements and opportunities are escalated for future planning .Develop capability to further train R&D partners to use tools and follow processes as needed .Build and maintain relationships with key internal and external partners. .Maintain relationships with key stakeholders to support proactive and adhoc analytics needs .Timely communication to key global stakeholders regarding analytical needs .Maintain connections with Nutrition Sciences to drive efficiencies on reporting and analytics and eliminate duplication of efforts .Support NDCT leadership in Identifying opportunities to integrate analytics into business processes (e.g., AOP, SBP, and horizon scanning, etc.) .Qualifications/Requirements .Minimum 1 year’ experience in nutrition science, preferably within FMCG industry .Bachelors of Technology .Familiarity with multiple programing languages to maximize data analytics (C, C++,R,Python,R Java) .Experience of system administration/database management is ideal .Experience managing large data sets with precision and attention to detail and interpreting findings .Outstanding teamwork, communication and interpersonal skills to collaborate with multiple stakeholders .Ability to manage and prioritize multiple project initiatives to meet business objectives in a demanding and changing environment .Strong ability to effectively manage in matrixed organizational structure .Ability to positively influence at all levels within the organization .Relocation Eligible: .Eligible for Standard Relocation .Job Type: .Regular"
4,Data Surveillance Analyst, Parexel,Hyderabad,Hyderabad,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=713463&s=58&guid=00000170cffb93d08d666d7298f33d35&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_fc683428&cb=1584037336242&jobListingId=3522904010,"Job Purpose: .The role will be part of the Global Clinical Operations, acting as a Data Surveillance Analyst. The role will perform analysis of specific scientific and operational data to support the Data Surveillance process and will perform a central review of the defined project specific Quality Tolerance Limits. The role will support the specific project functional roles with their DS Plan defined project reviews and any relevant findings will be communicated to the project team during the regular project specific Data Surveillance meetings. In addition, the role will support the development of the Data Surveillance Plan and participate in the Data Surveillance meetings. .Data Surveillance Analysts not only need to understand GCP and have a background in life sciences, but should also demonstrate fluency in statistical, analytical, and business skill sets in order to interpret risk (both qualitatively and quantitatively) and strategically support Data Surveillance activities. All reviews and analysis will be conducted as per the Data Surveillance Plan as aligned with Data Surveillance related processes, SOPs, ICH and/or other guidelines to fulfill local regulations. .Key Accountabilities: .Study Phase Accountability & Supporting Activities .may include but not limited to the following: .Start-Up Act as PAREXELs Data Surveillance Analysis expert .• Support the development of a robust Data Surveillance Plan, Quality Tolerance Limits and Data Surveillance technologies (Parexel Data Surveillance, CluePoints Statistical Analysis Platform, etc.) .• CluePoints: .o Create data import mapping for all data sources within CluePoints .o Create and set-up standard and bespoke KRIs .o Create and set-up Data Quality Assessment parameters .o Create KRI and DQA dashboards .Maintenance and close out Act as PAREXELs Data Surveillance Analyst, assess and review available study data to identify data quality trends, outliers, lack of variability, breeches of Quality Tolerance Limits, and other risks to study data quality and overall integrity .• Actively participate in Investigator and other external or internal meetings and audits & regulatory inspections as required. .• Recognize impact of study non-compliance/issues/delays/data quality signals and communicate/ promptly escalate to FL any site and/or study issues that require immediate action. .Overall Accountabilities from Site identification to Close out Ensure timely and accurate review of Data Surveillance tools, systems and reports .• Maintain a positive, results orientated work environment, building partnerships and collaborative relationships, communicating .Skills: .• Client-centric, quality focused approach to work. .• Ability to work in a matrix environment and contribute to the overall goals of HPC within project teams. .• Excellent verbal and written communication skills, as well as experience in presenting at internal and sponsor meetings, conveying complex data and information in a clear, concise manner. .• Demonstrate basic understanding of SDTM domains and knowledge of data operations concepts. .• Demonstrate basic SAS programming skills. .• Strong computer skills including but not limited to the knowledge of a Clinical Trial Management System (CTMS), Electronic Document Management System (EDMS), and MS-Office products such as Excel and Word. .• Demonstrated working knowledge and practical application of functionality of Parexel and vendor technologies supporting centralized monitoring/data surveillance and Data Driven Monitoring. .Knowledge and Experience: .• 5 or more years of relevant medical, clinical or data management work experience recommended .• Experience of working within a DDM study, and/or participating in the Data Surveillance process highly recommended. .• Basic SAS programming and/or SQL script writing .Qualifications .Education: .• Educated to a degree level (medical, biological science, pharmacy or other health related discipline preferred) or relevant clinical, technology or business equivalent .• Advanced degree preferred, including MD, PhD, MSc"
5,Data Analyst, Thoucentric,Hyderabad,Hyderabad,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=437149&s=58&guid=00000170cffb93d08d666d7298f33d35&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_5925ec51&cb=1584037336243&jobListingId=3521354120,"Provide sustaining support for existing dashboards and semantic. .Design, develop, and support dashboards and reports. .Monitor FogBugz Ticketing system to address bugs, enhancements and adhoc data requests .for Operations stake holders. .Drive deep data profiling and analysis for insights. .Create and deploy robust, scalable audit framework for monitoring data quality and latency .for our semantic and dashboards. .Drive automation wherever applicable for scale and efficiency. .Key Qualifications: .Expertise with Tableau and data visualisation is a must .Expertise in UI/UX is a must .Experience presenting and sharing insights with various business functions .Relational Database design and data architecture fundamentals; .Experience with ETL tools used to automate manual processes .Experience with Python a plus. .Individual must demonstrate: .Sound critical thinking, work ethics and passion to go beyond what is expected ongoing. .Possess a very high degree of natural curiosity to drive the next levels of business questions .and insights. .Ability to manage and deliver assigned projects from start to finish within timelines, scope .and quality. .Advanced knowledge of SQL is a plus .Strong verbal and written communications."
6,Data Intelligence Analyst, Dell,Hyderabad,Hyderabad,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=878128&s=58&guid=00000170cffb93d08d666d7298f33d35&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_f33613a0&cb=1584037336243&jobListingId=3518604564,"Analyst,Data Engineering .Dell provides the technology that transforms the way we all work and live. But we are more than a technology company — we are a people company. We inspire, challenge and respect every one of our over 100,000 employees. We also provide them with unparalleled growth and development opportunities. We can’t wait for you to discover this for yourself as a Data Intelligence Engineer on our team in Round Rock. .Transforming raw data into insight. Predicting the future through analysis. These are our core strengths as a groundbreaking organization changing the world through technology. Our Data Intelligence Engineering team applies science to data to predict and model future outcomes. Our engineers lead the way in developing new methods of generating meaning from data – developing new environments, methodologies, processes, tools and data governance structures. They also propose strategic or tactical plans based on business data and market trends. .Key Responsibilities .As a Data Intelligence Engineer, you will need to understand the business requirements/processes and system integration points to determine appropriate technology solutions. Develop the applications based on system and end-user requ .ETL Development and debugs software according to Dell’s standards, policies and procedures. .Analyzes business needs and creates software solutions. .Evaluates and recommends software and hardware solutions to meet user needs. .Interacts with business users and I/T to define current and future application requirements. .Initiates corrective action to stay on project schedules. .May assist in orienting, training, assigning and checking the work of more junior employees. .Essential Requirements .2-4 years of IT experience in data-warehousing area with excellent communication and analytical skills. .At least 2 yrs of experience in any ETL Tool (Informatica, DataStage, Streamsets etc.) .At least 2 yrs experience working with any MPP architecture DB (preferably Teradata or Greenplum) and good exposure on Oracle .Must have hands on (current) experience on UNIX/Linux scripting. .Exposure in the tools like of the scheduling tools (preferably Control-M) .Excellent analytical and problem solving skills is a must have. .Excellent communication skills (verbal and written) .Must be experienced in diverse industry and tools and data warehousing technologies. .Bachelor of Engineering or Master of Computer Applications .Benefits: .We offer highly competitive salaries, bonus programs, world-class benefits, and unparalleled growth and development opportunities — all to create a compelling and rewarding work environment. .Our EVP: .Our Culture Code unites us and makes us a great family of companies and a great place to work. It’s how we run the business, go to market, work together and provide inspirational leadership. .Our culture code is defined by our values and are made real every day by defining expectations for how we work and how we lead. .Apply now! .Dell is an Equal Opportunity Employer and Prohibits Discrimination and Harassment of Any Kind: .Dell is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment. All employment decisions at Dell are based on business needs, job requirements and individual qualifications, without regard to race, color, religion or belief, national, social or ethnic origin, sex (including pregnancy), age, physical, mental or sensory disability, HIV status, sexual orientation, gender identity and/or expression, marital, civil union or domestic partnership status, past or present military service, family medical history or genetic information, family or parental status, or any other status protected by the laws or regulations in the locations where we operate. Dell will not tolerate discrimination or harassment based on any of these characteristics. Dell encourages applicants of all ages.Learn more about Diversity and Inclusion at Dell here."
7,VAT Services on Amazon Onboarding & Data Analyst, Amazon,Hyderabad,Hyderabad,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=883172&s=58&guid=00000170cffb93d08d666d7298f33d35&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_7cfe5259&cb=1584037336244&jobListingId=3494959299,"This is a role for VISA (VAT International Services on Amazon) team. The product has been the largest filing provider amongst ~10 providers. .In this role, you have to be a self-starter, comfortable with ambiguity, with strong attention to detail and passion for data, and an ability to work in a fast-paced and ever-changing environment. It's a big ask, and we're excited to talk to those up to the challenge! .Key Responsibilities: .· You need to call the sellers to nudge them to adopt VAT services on Amazon .· Retrieving and analyzing data using SQL, Excel, and other data management systems .· Reactively and proactively developing and executing analyses that provide important insight into the business .· Designing and implementing self-service reporting solutions that enable stakeholders to manage the business and make effective decisions .· Monitoring existing metrics and partnering with internal teams to identify process and system improvement opportunities. .Basic Qualifications .· Zeal to call sellers, who are the backbone of Amazon's business .· Bachelor's degree in Computer Science, Engineering, Operations Research, Math, or related discipline. .· Minimum 2+ years of experience as an Analyst role preferred. .· SQL Knowledge and Hands-on experience is a must. .· Demonstrated Analytical ability, results-oriented environment with external customer interaction. .· Excellent written and verbal communication and presentation skills and the ability to express thoughts logically and succinctly. .· Entrepreneurial drive and demonstrated ability to achieve stretch goals in an innovative and fast-paced environment. .Preferred Qualifications .· Experience with E-Commerce, Retail and Business Analytics would be an advantage. .· Understanding of data warehousing, data modeling concept and building new DW tables .· Advanced SQL skills, fluent in R and/or Python, advanced Microsoft Office skills, particularly Excel and analytical platforms .· Highly proficient in Microsoft Office and Windows based applications."
8,Data Analyst, ZettaMine,Hyderabad,Hyderabad,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=437149&s=58&guid=00000170cffb93d08d666d7298f33d35&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_792eb267&cb=1584037336245&jobListingId=3201265723,"Responsibilites : .Backgrounds in technology, information management, relational database design and development, business intelligence, data mining or statistics. .Solid understand of data analysis techniques or processes will help reduce the need for you to learn every data analysis tool in the market .Experinece in importing, cleaning, transforming, validating or modeling data with the purpose of understanding or making conclusions from the data for decision making purposes. .Experinece in Performing audit on data and resolve business related issues for customer base .Experinece in Performing data analysis and facilitate in delivery to all end users. .Explorering sift through mountains of data to discover the data you actually need .Send us the Resume at info@zettamine.com"
9,Data Analyst, Hitwicket,Hyderabad,Hyderabad,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=437149&s=58&guid=00000170cffb93d08d666d7298f33d35&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_cd1f00f0&cb=1584037336246&jobListingId=3338160060,"You will be working closely with the Product Team to share data driven insights on user experience, user journey and strategic issues in the game. .RESPONSIBILITIES .Create models for dynamic data analysis .Execute quantitative data analysis to draw actionable insights .Provide data driven decision making support on product features .Understanding data to decode patterns and develop user behaviour insights .Monitoring and performance analysis of product features .Opportunities to learn new things as we move along in our journey .REQUIREMENTS .Experience in analyzing data and creating meaningful insights .Hands on knowledge of SQL, R/Python is a big plus .Passion for gaming and development .Technical expertise regarding data models, database design development, data mining and segmentation techniques .Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy .Preference for working without a handbook, with a love for doing what’s never been done before .To Apply, please submit your Resume along with your LinkedIn profile to: joinus@hitwicket.com"
