,Name,Company,City,Location,Url,JOB_INFO
0,Data Analyst, Paytm,Noida,Noida,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=437149&s=58&guid=00000170cffbc75d8254b52f45231bd0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_2499a054&cb=1584037349512&jobListingId=3200347244,"Part of Paytm wallet web/app/customer analytics team .Responsible to Analyze raw data, Manipulate, Cleanse and Process data using Hive/Sql/R/Python and throw insights on effectiveness of campaigns running on Paytm marketplace. .Responsible for performing data driven growth analytics for building topline and optimizing marketing spends .Key technical skills (not all are mandatory) .Expertise in Excel, SQL, R/Python .Experience with Big Data technologies preferably Hive, Spark .Familiarity with visualization tools like Tableau, Grafana .Familiarity with basic statistical techniques for prediction and optimization .Desired experience: .1-3 years in analytics firm or analytics divisions of e-commerce firms .Ability to work under high pressure .Structured problem solving"
1,Financial Data Analyst - India, Clearwater Analytics,Noida,Noida,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=600635&s=58&guid=00000170cffbc75d8254b52f45231bd0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_e7e3b3e8&cb=1584037349514&jobListingId=3307075305,"About Clearwater Analytics® .Clearwater Analytics® is a global SaaS solution for automated investment data aggregation, reconciliation, accounting, and reporting. Clearwater helps thousands of organizations make the most of investment portfolio data with cloud-native software and client-centric servicing. Every day, investment professionals worldwide trust Clearwater to deliver timely, validated investment data and in-depth reporting. .Clearwater aggregates, reconciles, and reports on more than $3 trillion in assets across many Fortune 500 clients. .Position Details .As a member of Clearwater's Data Team, you will be responsible for maintaining the integrity of Clearwater's security master which includes 345,000 active and over 1.9 million total securities spanning a wide variety of asset classes. You will collaborate with a global team across various functional roles to ensure our data offering and asset modeling is truly world class. When deficiencies are identified, you will be tasked with finding and implementing solutions with an unwavering commitment to client success. In addition to your focus and attention to identifying and correcting individual data points, you may also be asked to analyze Clearwater's data set from a more holistic perspective to identify opportunities and strategies to improve quality controls. .Responsibilities .Identify and analyze potential data sources which will improve the consistency, timeliness and/or completeness of our data sets .Leverage SQL and internal tools to update and maintain security master integrity .Effectively distill complex subjects to clear, concise communication .Utilize programming and internal tools to re-engineer inefficient processes with the goal of improving system automation, speed, accuracy, and operational workflow .Work on a dynamic and fast paced team, applying your analytical and problem-solving skills for maximum impact across the organization and industry .Strategize with cross-functional teams to improve our client experience, operational efficiency, and prospective opportunities .Identify patterns and trends in order to research and resolve problems/inconsistencies in our data set .Requirements .Strong problem solving, math, and communication skills .Passion, Perseverance, and Accountability with an innate desire to drive client success .Bachelor's degree in Accounting, Finance, Data Science, Math or related area of study .Ability to read and understand at least one programming language (i.e. Python, Java, VBA, etc.) .Experience with SQL or other relational databases .5+ years of professional work experience .3+ years experience working with security reference data .Proficiency working with Microsoft Office, including Excel .Work with minimal direction and ability to coordinate complex activities in an evolving environment .Desired Experience and Skills .Experience with business intelligence solutions .Experience in investment management front office or operations or within an international data provider .What we offer: .Business casual atmosphere in a flexible working environment .Team focused culture that promotes innovation and ownership .Access to cutting edge investment reporting technology and expertise .Continual learning, professional development and growth opportunities .Competitive salary and benefits package; including health, vision and dental"
2,Data Analyst, InnovAccer,Noida,Noida,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=4120&s=58&guid=00000170cffbc75d8254b52f45231bd0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_4bffb41b&cb=1584037349515&jobListingId=3443176764,"HAVE YOU HEARD ABOUT THE WORLD'S FASTEST GROWING HEALTH IT COMPANY? .Innovaccer Inc. is a leading healthcare data platform company focused on delivering more efficient and effective healthcare through the use of pioneering analytics and transparent, clean, and accurate data. Innovaccer’s aim is to simplify complex data from all points of care, streamline the information, and help organizations make powerful decisions and realize strategic goals based on key insights and predictions from their data. Its products have been deployed across more than 500 locations with over 10,000 providers leveraging it at institutions, governmental organizations, and several corporate enterprises such as Mercy ACO, StratiFi Health, Catalyst Health Network, Osler Health Network, and PHIX HIE. Innovaccer is based in San Francisco with offices around the United States and Asia. .YOUR TITLE WILL BE: .Data Analyst .YOUR DEPARTMENT WILL BE: .Product Engineering .YOUR EMPLOYMENT TYPE: .Full Time .WHERE YOU WILL BE WORKING? .Noida, India .KEY SKILLS: .SQL .Python(Good to have) .Requirement Gathering .Data Analysis .Data Modelling .Data Visualisation (Tableau/Power BI) – Good to have .YOUR ROLE .We at Innovaccer are looking for a Healthcare Data Analyst to gather and analyse healthcare data from multiple sources (e.g. insurance processing, clinical operations, patient behaviour) to extract trends and business insights. To succeed in this role, you should be resourceful. You should also be an excellent communicator who’s able to tell the story behind raw data to non-technical audiences. If you also have experience in the healthcare industry, we’d like to meet you. .THE REALLY GREAT THINGS YOU’LL BE DOING .Understand health care operations and systems .Manage Data schema across implementations .Delve into data to discover discrepancies and patterns .Design conceptual, logical and physical data models for healthcare systems .Design and Develop database/data warehouse designs to store and retrieve complex relational data for multiple use-cases .Suggest ways to both increase healthcare quality and reduce costs .Collaborate with management and internal teams to implement and evaluate improvements .Analyze applications, operations, and programming to determine database structural requirements .Propose database solutions through potential system designs .Work with Data architect on use-cases incorporation .Improve system performance by conducting tests, troubleshooting and integrating new elements .Define security and governance procedures .Coordinate with product and project teams to identify future needs and requirements .WHAT LANDS YOU THIS ROLE .Strong knowledge of SQL and Extract, Transform and Load (ETL) frameworks .Familiarity with ROLAP databases such as Redshift / Greenplum / Teradata preferred .1-3 years of Experience in Business Intelligence and Data Analytics .Analytical mind, critical thinker, problem-solver .Meticulous attention to detail .Solid communication skills, both verbal and written .Familiarization with Data Visualization tools such as Power BI / Tableau is a plus .WHAT ORG’S WOULD YOU DRIVE? .Engineering Department is involved in all Engineering Activities at Innovaccer. From Product Development to R&D. And we are on a mission to build the World's Best Healthcare Data Activation Platform and Build Best in Class SaaS applications over the platform to right the wrongs of the Healthcare Technology."
3,Business Analyst - Data Management, Genpact,Gurgaon,Gurgaon,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=477713&s=58&guid=00000170cffbc75d8254b52f45231bd0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_9e396910&cb=1584037349516&jobListingId=3455446998,"With a .startup spirit and 90,000 curious and courageous minds, we have the expertise .to go deep with the world’s biggest brands—and we have fun doing it. Now, we’re .calling all you rule-breakers and risk-takers who see the world differently, .and are bold enough to reinvent it. Come, transform with us. .Inviting .applications for the role of .Business Analyst ., .Data Management .& Reporting .Responsibilities .Understand .the communicated requirements and perform adhoc’s testing and performing .reconciliations on the developed report to ensure the accuracy of desired .output. .Performing .Program Reconciliation Reports and maintaining Audit artifacts .Working .on process change requests on steady state reports with attention to .reconciliation expectations and co-coordinating with different teams and .PA’s (Program administrators) to seek issues .Document .preparation (SOP) for developed reports to share with team members and .must be able to own the responsibilities assigned and manage/prioritize .them based on due dates and task demands. .Work .on fixing any Errors/Fall out transactions before month end close and .testing of movement of data between different servers. .Develop .an understanding on available SQL scripts/stored procedures in the process .and fine-tune them whenever necessary after coordinating with Onshore .team. .Qualifications we seek in .you .Minimum .qualifications .Graduate .in B.Tech , BCA .Any .Graduates with experience on Testing Profiles and working with Insurance .Industry .Preferred Skill Set .Ability .to write and understand SQL queries. Proficiency in SQL Server .Proficient .in Advance Excel and MS Access with some VBA knowledge. .Domain .Knowledge – Should have significant knowledge of working in NAS/US .Insurance Industry .Exposure .to Finance, Actuarial or Claims which general focus on report creation, .testing and review. .Excellent .interpersonal skills with analytical mind set .Genpact is .an Equal Opportunity Employer and considers applicants for all positions .without regard to race, color, religion or belief, sex, age, national origin, .citizenship status, marital status, military/veteran status, genetic .information, sexual orientation, gender identity, physical or mental disability .or any other characteristic protected by applicable laws. .Genpact is committed to creating a .dynamic work environment that values diversity and inclusion, respect and .integrity, customer focus, and innovation. For more information, visit .www.genpact.com. Follow us on Twitter, Facebook, LinkedIn, and YouTube."
4,Data Analyst, Fine Jobs,Noida,Noida,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=437149&s=58&guid=00000170cffbc75d8254b52f45231bd0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_2df97207&cb=1584037349517&jobListingId=3320266232,"VARITE is looking for a qualified Data Analyst for one of its clients located in Noida (Sec 144) . If you are interested in this opportunity, kindly respond ASAP with your updated resume. We will be glad to represent you to our client and help in your job search. WHAT THE CLIENT DOES? A system integration and one of the largest IT Services companies. WHAT WE DO? VARITE is a global IT company providing software and engineering consulting and team augmentation services to Fortune 1000 companies in USA, CANADA and INDIA. VARITE is currently a primary and direct vendor to the leading corporations in the areas of Cloud, Data Sciences, Infrastructure Application Software, Mobility, Robotics, Banking & Financial Systems. .Salary Negotiable .Industry IT Software .SubIndustry Software Development .Functional Area IT Software Development .Specialization Database Architect/Designer .Role Executive / Officer Level .Keyskills .Data AnalysisAdvance ExcelPivot Table .Desired Candidate Profile .Please refer on JD .Education .Highest Qualification .Graduation B.E/B.Tech"
5,Data Analyst, Hike,New Delhi,New Delhi,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=14295&s=58&guid=00000170cffbc75d8254b52f45231bd0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_703b72f6&cb=1584037349518&jobListingId=3501337994,"A New Social Future .How is it that in a world that's evolving so quickly that social products still feel the same? Strangely enough, we're still using products that were invented in the 2G era. There seems to be an emptiness with the current experience and today's products are built to force humanity to be superficial. .We'd like to change that. .With the advancements in technology, so much more is possible today that wasn't even possible, just a few years ago. We believe the timing couldn't be better. .6 Principles .We’re thoughtful about why we do things and here are 6 principles guiding our thinking: .Advancements in Tech & AI .: Allowing more bits to be pushed to users in real-time and thus allowing far richer, more personalised experiences. .Bits Cheaper than Atoms .: Today, bringing rich, luxurious experiences to the masses is faster, more efficient and cheaper online than it is offline. .Self Worth Moving Online .: 40% of people's waking life is now spent on their smartphones. The next generation is far more comfortable online than offline. .Vertical Communities .: We don't live our lives in one massive community. We're specific in the activities we engage in (art, gaming, fitness etc). .New Business Models .: Putting customer at the centre. These won't be ad-driven in the traditional sense. Think micro-transactions, subscriptions and more. .Consumers as Owners .: It's a bit strange that consumers aren't part of the value chain. Turning customers into owners is a fascinating thought. .Build Magical Things .It’s so clear to us that technology evolves but people stay the same. We’re solving for a core human need - social connection and with all the evolution in technology, today we can solve for that in brand new ways. .At our core, we’re a creative company. Ideas and pixels is where we live and we love building magical products that make our users feel ‘wow’ inside. It’s not just about features, it’s also about how they make people feel. We build at the intersection of the scientific and the romantic. .And it all starts with people, the right team that cares deeply about our mission, values and our users. At hike, you'll have the chance to do the best work of your life. .Come join us and shape the future of social. .The Hike Code .We’re on a journey to build something new, something different and making anything innovative & new requires the ability to surrender to the unknown. The Hike Code is our value system. It is our guide to navigate through the unknown to build incredible products. Here they are: .Top Talent in Every Role .: We look for people with an incredible intellect. Both skills and values are important to us. .Pro-Sports Team .: Strengths based, results driven with a ""team-first"" attitude .Customer at the Centre .: Everything we do is inspired by how can we better solve for our customer. .Constant Innovation .: It's our DNA to walk into the unknown in search of having meaningful impact. .Act Like Owners .: We own the output of what we do, even if it's explicitly not our job. .Thoughtful Decision Making .: Clear Mind + Obsession to Simplify + Data Driven. We strive to be thoughtful. .Always be Hustling .: We understand that success is not one big leap but tiny gains compounding over time #ABH. .Be Open Minded & Coachable .: We have a quest to continuously #RiseUp to be the best version of ourselves. .Role .If you've made it till here, you're probably still interested in the role :) .As a Data Analyst, you will: .Perform quantitative analyses that translate data into actionable insights and provide analytical, data-driven decision-making support for key projects. .Provide reporting and performance monitoring to product teams using data drawn from diverse sources. .Own and evangelize data-driven experimentation in the team to improve the product offerings, and document it. .Enable product reviews, deep dives and analyses through the effective use of data and communicate and report insights and recommendations to shape product strategy. .Ensure that any data required for carrying out the other responsibilities for the product/features you’re working on is properly instrumented and logged. .Requirements .Sounds Like You? .You have a Bachelor’s degree in Math, Statistics, Comp Science, Engineering, or other technical field required; advanced degrees strongly preferred. .You are hands on with Python/ Java Programming language. .You have a very good understanding of mobile and Internet products, growth strategies and business dynamics. .You are comfortable manipulating, transforming, and analysing complex, high-volume, high-dimensionality data from varying sources. .You have 3+ years experience performing quantitative analysis, preferably for an Internet or technology company. .You have hands-on working experience on SQL queries. .You have experience in reporting and dashboards involving very large datasets and multiple data sources, with the ability to interpret data and produce meaningful insights. .You have good understanding of statistical analysis, data warehousing, data modelling. .You have experience with statistical packages such as SPSS, SAS etc. and BI/visualisation tools such as Tableau, Google Analytics etc. .You have ability to execute research projects and craft actionable recommendations. .You have proven ability to work in a fast-paced environment, meet changing deadlines and priorities on multiple simultaneous projects. .You have excellent organisational, communication, presentation and interpersonal skills. .You enjoy working in both individual and team settings. .Benefits .A flat and transparent culture .Flexible working hours - No fixed Checkin/Checkout .Unlimited Snacks, food, and drinks on the house .Tools of the trade - MacBook, Latest Softwares .Monthly Communication Reimbursement .Best learning and development opportunities .A chance to have a big impact early in your career .At Hike, we value diversity. We are an equal opportunity employer: we do not discriminate on the basis of race, color, religion, gender, ethnicity or disability status."
6,Data Analyst, TBO Group,Gurgaon,Gurgaon,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=437149&s=58&guid=00000170cffbc75d8254b52f45231bd0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_01addfe1&cb=1584037349519&jobListingId=3200289726,"Data analysts translate numbers into simple readable statics, every business collects data, whether it's sales figures, market research, logistics, or transportation costs. A data analyst's job is to take that data and use it to help companies make better business decisions. .Analytical Skills: .Data analysts work with large amounts of data: facts, figures, and number crunching. You will need to see through the data and analyse it to find conclusions. .Communication Skills: .Data analysts are often called to present their findings, or translate the data into an understandable document. You will need to write and speak clearly, easily communicating complex ideas. Demonstrates good communication skills. .Critical Thinking: .Data analysts must look at the numbers, trends, and data and come to new conclusions based on the findings. .Attention to Detail: .Data is precise. Data analysts have to make sure they are vigilant in their analysis to come to correct conclusions. .Math Skills: .Data analysts need math skills to estimate numerical data. .Programming Skills: .This role requires an understanding of programming logic, although no experience with a specific programming language is required. Familiarity with SQL will be an important part of the data analyst role. .Educational Requirements: .Bachelors of Science in any related fields. .Overall Knowledge/Skills/Abilities: .Must have strong analytical skills and an understanding of system databases, data elements, and application software solutions to maximize data gathering and data analysis. .Have the ability to interpret their intent and application. Demonstrates the ability to handle a variety of responsibilities under pressure. Must be able to function independently."
7,Data Analyst, Adidas,Gurgaon,Gurgaon,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=437149&s=58&guid=00000170cffbc75d8254b52f45231bd0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_af7b2f21&cb=1584037349520&jobListingId=3461660957,"Key Responsibilities: .Analytics • Undertakes analytical activities and delivers analysis outputs, in accordance with customer needs and conforming to agreed standards. .Data modelling and design • Applies data analysis, design, and modelling techniques to establish, modify or maintain a data structure and its associated components (entity descriptions, relationship descriptions, attribute definitions). .Data Visualization • Applies a of variety visualization techniques and designs the content and appearance of data visuals. • Operationalizes and automates activities for efficient and timely production of data visuals. • Selects appropriate visualization approach from a range of applicable options. • Contributes to exploration and experimentation in data visualization. .Programming/software development • Designs, codes, verifies, tests, documents, amends and refactors simple programs/scripts. • Applies agreed standards and tools, to achieve a well-engineered result. Reviews own work.Key Relationships: • Global IT • Respective business function (GOPS, Finance, HR, Brand Marketing, Wholesale/Retail) • Digital .Requisite Education and Experience / Minimum Qualifications: .• Four-year college or university degree with focus on Business Administration or IT or related areas, or equivalent combination of education and experience • Proficient spoken and written command of English • At least 3-year experience in IT • 1 year of experience in relevant area"
8,Data Analyst, CRMNEXT,Noida,Noida,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=437149&s=58&guid=00000170cffbc75d8254b52f45231bd0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_d62e71a6&cb=1584037349521&jobListingId=3518323881,"Job Title: .Data Modeller/Data Analyst/ Machine Learning Engineers .Location : .Noida, India .Experience : .2 - 7 Years .Who we are: .Acidaes Solutions (CRMNEXT) is the World's Most Powerful Financial Customer Relationship Management Software Product Organization. CRMNEXT effectively recalibrates bank's potential to grow engagement, drive profitability and deliver innovation while changing the Banking Industry. CRMNEXT has Practiced and Proven leadership in multiple industry verticals like Banking, Insurance, Financial Services, Media, and Pharmaceuticals Segments . .Direct Presence in 12+ Countries .Customers across 19+ Countries .We are a fastest growing company which is leading in the industry, we have grown fast sporadically across the globe with over 3,25,000+ users across 5000+ locations and 36 countries & over 700+ Employees .Our Clientele is based out in Asia Pac, USA, Middle East, South Africa, Australia, etc. .Our product engages millions of global users and we are keep adding millions every month .Who we are looking for: .We are looking for Data Engineers who are smart, innovative and love the challenge of solving business problems that makes happen exceed the customer expectations. .Why Do Clients Love CRMNEXT: .We Manage 1 Billion+ Customers .We Empower 1 Million+ Bankers .Leading Player in BFSI Domain .We Deliver Non-Stop Innovations .Accoladeswith 20+ Awards .Who we are looking for .Roles and Responsibilities: .The position seeks proven analysts who can manage enterprise level projects and deliver to exceed customer expectations. .Apply AI/ML experience & expertise horizontally in a domain-agnostic manner to solve complex problems in both traditional and non-traditional financial domains .Design & Develop ML pipelines for Model implementation & Develop Champion/Challenger Model Deployment. .Enhance efficiency & effectiveness of existing models i.e., Analyze and test the algorithms/solutions/techniques before releasing it for production .Exceptional data management skills and the ability to perform complex modelling on dynamic data sets. .Technical Skills: .Modern Machine Learning Concepts & State Of The Art Deep Learning .Training frameworks (Sckit-learn and PyTorch) .Analysis & Design | Machine learning algorithms .Data Structures and Algorithms | System-Level Design .Python | Object-Oriented Concepts .If this role sounds exciting to you and fulfil your future goals, then we should love to hear from you. .Disclaimer - This JD is only a summary of the typical functions of the job, not an exhaustive or comprehensive list of all possible job responsibilities, tasks, and duties. The responsibilities, tasks, and .Salary: .Not Disclosed by Recruiter .Industry: .IT-Software / Software Services .Functional Area: .Analytics & Business Intelligence .Role Category: .Analytics & BI .Role: .Data Analyst .Keyskills .Customer RelationshipAlgorithmsFinancial ServicesData StructuresData ManagementData AnalysisData ModelingMachine LearningDeep LearningPython .Desired Candidate Profile .Please refer to the Job description above .Education- .UG:B.Tech/B.E. - Any Specialization .PG:MCA - Computers .Company Profile .Acidaes Solutions Pvt. Ltd. .CRMNEXT is a global cloud CRM solution provider credited with the world's largest installation ever. From Fortune 500 to start-ups, businesses across nine verticals have built profitable customer relationships via CRMNEXT. A pioneer of Digital CRM for some of the largest enterprises across Asia-Pacific, CRMNEXT¢¢s customers include global brands like Pfizer, HDFC Bank, ICICI Bank, Axis Bank, Tata AIA, Reliance, National Bank of Oman, Pavers England etc. It was recently lauded in the Gartner Magic Quadrant 2015 for Lead management, Sales Force Automation and Customer Engagement. .Recruiter Name: .CRMNEXT Talent Acquisition Team .Contact Company: .Acidaes Solutions Pvt. Ltd. .Telephone: .8929553303 .Address : .Unitech Infospace, Ground Floor, Tower 1, NOIDA, Uttar Pradesh - 201309,India"
9,Data Analyst, Algoscale,Noida,Noida,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=437149&s=58&guid=00000170cffbc75d8254b52f45231bd0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_2ff49031&cb=1584037349522&jobListingId=3477013017,"Position title .Data Analyst .Description .Proficiency in using query languages such as SQL, Big Query, Excel, Advanced Excel and Snowflake .Extensive use of SQL and RDBMS systems .Crunch a large volume of data and observe trends using BI tools .Good Knowledge of BI tools such as tableau, looker, Qlikview .Good communication skills is a plus .Required Skills .Business analysis to gather required BI system requirements .Translate business requirements into specifications that will be used to drive data store/ data warehouse/ data mart design and configuration .Crafting and executing queries upon request for data .Presenting information through reports and visualization .Extending company’s data with third party sources of information when needed .Enhancing data collection procedures to include information that is relevant for building analytic systems .Processing, cleansing, and verifying the integrity of data used for analysis .Job Responsibilities .Bachelors/ Masters in Computer Science or Electronics from tier 1 & 2 colleges .Contacts .careers@algoscale.com"
