,Name,Company,City,Location,Url,JOB_INFO
0,Data Solutions Analyst, Intrado,Bengaluru,Bengaluru,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=809019&s=58&guid=00000170cffbb3b59c6a9575531bad51&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_b0c9e445&cb=1584037344384&jobListingId=3435962099,"BASIC FUNCTION .Responsible for utilizing a variety of information management and delivery tools to develop, deploy, and support the reoccurring report processes and information requests from internal and external clients; gather and document data request requirements from internal and external clients; participate in the development and maintenance of the metrics data warehouse; design and maintain analytical report interfaces; prepare and distribute a variety of contractually required performance reports as requested by supervisor; coordinate, prioritize, and participate in activities associated with completing assigned metrics projects or project task(s), following from beginning to end .MAJOR JOB ACCOUNTABILITIES .Data Solutions Functions - .Create and maintain client specific metrics data warehouses, design, and maintain analytical report interfaces in adherence to departmental policies and procedures .* Gather and document data request requirements from internal and external clients .* Participate in the development and maintenance of the metrics data warehouse; design and maintain analytical report interfaces .* Follow automated report production processes and procedures .* Maintain report production and delivery systems .* Provide end user training and support for reports and reporting tools as required .* Follow and make recommendations to work instructions for department processes .* Escalate to supervisor any situation outside of employee's control that could adversely affect the services provided .* Comply with the letter and spirit of the Intrado Information Security Policy .Report Preparation - .Prepare and distribute a variety of contractually required performance reports as requested by supervisor .* Design customer report requests and perform ad hoc analysis and queries from the results .* Ensure all reports are completed accurately and according to designated timelines .* Conduct research and compile data for report preparation resolving any discrepancies with data .Project Coordination - .Coordinate, prioritize, and participate in activities associated with completing assigned metrics projects or project task(s), following from beginning to end, ensuring accomplishment of defined goals .* Assign appropriate staff to complete project task(s) as necessary, providing leadership and monitoring progress to ensure tasks are completed in a timely and accurate manner .* Establish timelines and update project plan as necessary, ensuring all deadlines are met as scheduled .* Provide management with status reports detailing status and timelines throughout all assigned projects to include analysis of risks associated with the project and recommended solutions .* Ensure all steps are followed to close project, which may include conducting meetings, completing project reports, and maintaining completed project file .Team Interfaces/Customer Service - .Establish a good working relationship with team members and department contacts in order to maintain and continuously strive to improve the level of overall service being provided .* Assist with performing quality review of services provided and department interactions by escalating work flow and communication issues to supervisor to help identify trends indicating the need to revise existing methods and procedures .* Responsible for placing a high priority on providing quality customer service while continuously striving to improve the level of overall service provided to internal customer and client .* Escalate to supervisor any situation outside the employee's control that could adversely impact the services being provided ensuring all customers (e.g., employees, clients, departmental interfaces, etc.) are treated with respect and responded to in a timely and accurate manner .Mental and Physical Requirements - - .*This position will be exposed mainly to an indoor office environment and will be expected to work near or around computers, telephones, and printers .*The nature of the work in this position is sedentary and the incumbent will be sitting most of the time .*Essential physical functions of the job include typing, grasping, pulling hand over hand, and repetitive motions to utilize general computer software/hardware continuously throughout the work day .*Essential mental functions of this position include concentrating on tasks, reading information, and verbal/written communication to others continuously throughout the work day .Related Duties as Assigned - - .* The job description documents the general nature and level of work but is not intended to be a comprehensive list of all activities, duties, and responsibilities required of job incumbents .* Consequently, job incumbents may be asked to perform other duties as required .* Also note, that reasonable accommodations may be made to enable individuals with disabilities to perform the functions outlined above .* Please contact your local Employee Relations representative to request a review of any such accommodations .MINIMUM QUALIFICATIONS .Applicant for this job will be expected to meet the following minimum qualifications. .Education .* Associate's degree in business, operations research, mathematics, statistics, computer science or related field required. Bachelor's degree in business, operations research, mathematics, statistics, computer science or related field preferred. Equivalent work experience in a similar position may be substituted for educational requirements. .Experience .* Minimum two years experience creating and maintaining analytical reports required. Minimum one year experience in telecommunications or high-technology industry preferred. .Technical .* Basic knowledge programming with SQL, Oracle, SAS, SPSS, Visual Basic or Visual Basics for Applications preferred .* Basic knowledge of Oracle and Meridian preferred .Other .* Intermediate knowledge of MS Word, Excel, Access, Outlook, and PowerPoint required"
1,Data Analyst, Amazon,Bengaluru,Bengaluru,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=883172&s=58&guid=00000170cffbb3b59c6a9575531bad51&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_6ee7ba6d&cb=1584037344386&jobListingId=3276505185,"Through the Amazon Marketplace, Amazon provides individuals or enterprises the opportunity to sell their goods on the Amazon platform. Worldwide, more than a million sellers use this Marketplace and thereby contribute to the success of Amazon. Amazon is growing its Marketplace aggressively worldwide. In this context, Amazon India Seller Services is setting up a new service to help with driving selection improvement on Amazon. .In order to drive improvement in the Amazon selection, this program will contribute in identification and on-boarding of new selection and drive efficiency of the existing selection. .About the Role: We are looking for a hands-on, detail oriented and highly motivated data analyst to help create data backed insights that will drive selection improvement . The candidate should be comfortable interfacing with technology systems and be able to analyze data and gather actionable conclusions. Operating in a rapidly changing environment will require the candidate to be adept at dealing with ambiguous, new and challenging situations. The candidate will be comfortable in executing repeatable processes. .Basic Qualifications .· Bachelor's degree in Computer Science, Engineering, Operations Research, Math, or related discipline. .· Minimum 2+ years of experience as an Analyst role preferred. .· Highly proficient in Microsoft Office and Windows based applications. .· SQL Knowledge and Hands-on experience is a must. .· Demonstrated Analytical ability, results-oriented environment with external customer interaction. .· Excellent written and verbal communication and presentation skills and the ability to express thoughts logically and succinctly. .· Entrepreneurial drive and demonstrated ability to achieve stretch goals in an innovative and fast-paced environment. .Preferred Qualifications .· Experience with E-Commerce, Retail and Business Analytics would be an advantage. .· Understanding of data warehousing, data modeling concept and building new DW tables .· Advanced SQL skills, fluent in R and/or Python, advanced Microsoft Office skills, particularly Excel and analytical platforms"
2,Data Analyst, Cyient,Bengaluru,Bengaluru,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=574424&s=58&guid=00000170cffbb3b59c6a9575531bad51&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_6a6786f2&cb=1584037344387&jobListingId=3521146358,"Cyient takes pride in partnering with the world’s leading Aerospace & Defense companies to deliver value-driven and outcome-based engineering solutions. We undertake design and system-level ownership of complex components, sub-systems, and modules to allow our clients to sustain a competitive advantage. .We collaborate with clients to support and deliver a wide range of end-to-end product and process engineering solutions across the Aerospace & Defense product segments - engines, avionics, structures, systems, interiors, aftermarket, digital, and defense. .Job Description .We are looking for a Data & BI Analyst to bring BI and analytics solutions to help the business to take and better decisions. The analyst has to work with different business groups to build advanced dashboards and drawing important insight using Power BI and other business Intelligence tools. Being an, and knowledge will be the essential elements of success of this position. As a BI Analyst, you will coordinate with your team of business, IT & analytics team for developing reports, dashboards and data solutions along with essential process, project and plans. .Have a university degree or a college diploma in computer science or equivalent Hands-on, experience in Power BI (DAX, Power Query) development and other analytics platforms .Experience with enterprise business intelligence solution data modeling, data mart and data warehouse architecture .Familiar with SQL Server, SSIS, ETL, and SSAS (Tabular/OLAP) SSRS .Knowledge of machine learning (Python and R-script languages) is a plus and experience with data visualization in excel (can write advanced macros) and PowerPoint Excellent – the requirements and present the story in a meaningful way .Skills & Experience .Power Bi, R Scripting, SQL .Cyient is an Equal Opportunity Employer. .Cyient recruits, employs, trains, compensates, and promotes regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender, gender identity or expression, veteran status, and other protected status as required by applicable law. We are proud to be a diverse and inclusive company where our people can focus their whole self on solving problems that matter."
3,Data Analyst, Siemens,Bengaluru,Bengaluru,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=344625&s=58&guid=00000170cffbb3b59c6a9575531bad51&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_2d899456&cb=1584037344388&jobListingId=3507733620,"Data Analyst .We provide transactional and digital Opportunity-to-Cash services from lead generation to the collection of incoming payments .We support Siemens businesses in driving top-line growth, profitability, cash conversion and customer intimacy .We are increasing efficiency across different businesses through process reengineering, simplification, digital services and Opportunity-to-Cash integration. We act as one global team, jointly delivering maximum value to our customers as their trusted Partner of Choice by driving E2E processes and digital transformation in an entrepreneurial way. .Change the future with us. .§ You will Provide our operations and GBSs customers data driven insights to create clear business value and make an impact .§ You will Support GBS O2C in driving projects along the customer value chain in the fields of Pre-Sales, Order Management, Cash Collection and allocation and After Sales Services .§ You Develop data driven business leads and opportunities with our internal customers to custom made products and from there into globally scalable solutions .§ You will Initiate, supervise and execute global data driven projects .§ You should Enrich the existing data analytics teams with experience around procedure, cross country collaboration and administration for HANA Data Lake based services .§ Join cross functional and international teams to successfully complete pure data driven but also data supported projects (e.g. BPM, RPA) .We dont need superheroes, just super minds. .Minimum 5+ years in industry or consulting with In-depth understanding of tools and techniques for data analysis and data lake related services .Good Knowledge of SAP HANA, SQL and Microsoft Excel .Proven working experience as business data analyst .Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy .Graduate in Mathematics, Economics, Computer Science, Information Management .Must be a quick learner and should be able to think critically .Good Communication skills (Verbal & Written) .Make your mark in our exciting world at Siemens. .This role is based in .Bengaluru .. Youll also get to visit other locations in India and beyond, so youll need to go where this journey takes you. In return, youll get the chance to work with teams impacting entire cities, countries and the shape of things to come. .Were Siemens. A collection of over 377,000 minds building the future, one day at a time in over 200 countries. We're dedicated to equality and we welcome applications that reflect the diversity of the communities we work in. All employment decisions at Siemens are based on qualifications, merit and business need. Bring your curiosity and imagination and help us shape tomorrow. .Find out more about Siemens careers at: .www.siemens.com/careers .Organization: .Global Business Services .Company: .Siemens Technology and Services Private Limited .Experience Level: .Experienced Professional .Job Type: .Full-time"
4,Data Analyst, Cargill,Bengaluru,Bengaluru,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=645559&s=58&guid=00000170cffbb3b59c6a9575531bad51&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_b1577a8f&cb=1584037344389&jobListingId=3493607909,"Position Purpose & Summary .Cargill as a company possesses and .generates large volume of data on a regular basis and when that data is .combined with external market data, it has a huge potential of generating .revenue and/or save cost for the company. All businesses and functions at .Cargill are making a lot of investment to create data and analytics strategy .and roadmap, stand up analytics teams, develop data lakes and enable analytics .through self-service to make Cargill a data-driven company. Analytics Hub at .Cargill Business Services is set up to enable and expedite the Analytics .journey of the company and help make it a success. .This role .will particularly work with the Global IT Business Applications PMO team to .support the creation and management of a portfolio view of global and regional .projects to ensure that the strategy, governance, and roadmaps are aligned to .Function and Enterprise PDT strategies. This position will be responsible for .gathering and analyzing key performance data for the Business Applications .portfolio, and combine the financial analysis with operational metrics, managed .services SLAs, project delivery metrics, rates, and allocation methodology to .analyze, and support the creation of Portfolio Performance Scorecards, .Dashboards and Key Performance Indicators. Priorities include providing .decision support through analysis to the Business Applications portfolio team .on portfolio/program/project interdependencies, resource constraints, and .portfolio level risks that may impact scheduling of projects within the .portfolio. .This position will support the creation .of the dashboard views. This includes .continuous improvement of tools, processes and the data, and working with .stakeholders across business applications to collect and refine data inputs. .This will also support the preparation of materials for portfolio reviews, .helping to ensure that the appropriate contributors and reviewers are .engaged. This includes ensuring that .portfolio data is accuracy maintained and ensuring the quality of the portfolio .data in Clarizen for business applications. Provide financial and non-financial .insights including overall portfolio metrics (risk/compliance, health, costs) .and analysis to inform and drive strategic decisions. .Principal Accountabilities .Perform Data Analysis and .Reporting .Partner on analytics projects by translating business questions and problems into structured analyses and insights .Support process to report on health of the portfolio of global projects. .Analyze and report on critical portfolio metrics ensuring that complicated information is delivered effectively and efficiently. Develop and present moderate to complex executive communications selecting the appropriate message for the audience. .Supports creation of dashboard/metrics on portfolio scorecard, portfolio roadmap, gantt, status report and other key portfolio deliverables. .Skills in cleansing data and data blending to make consistent and effective for analysis .Ability to model data in temporary analysis spaces to perform analysis .Ensure data accuracy for Business Applications portfolio in Cargill’s PPM tool .Create and manage supply and demand plan views which will be used to assist with balancing capacity and demand. .Analyze portfolio project delivery results and guide appropriate action. Reviewing KPI’s, process metrics and scorecards ensuring the proper measurements are in place with collaboration with the Business Applications portfolio team. .Monitor project progress during execution to identify variances form the plan and collaborate with the Instance/Solution owners and project managers to make needed corrections for projects. .Understanding of linkage between financial and portfolio reporting and tools. .Ensure visibility and link of projects to portfolio and budget; manages data and reporting views .Incorporate best practices for tools, data and process for Business Applications portfolio management. .Provide support for portfolio management processes for the Business Applications Portfolio. .Establish and maintain effective communication across a global business applications portfolio management stakeholder community .Provide oversight of portfolio health and assessment of opportunities. .Effectively communicate, through written and oral presentation, of insights to multiple levels of management across business units and functional areas .Leverage strong business acumen and business domain knowledge to anticipate business inquiries and act accordingly and decisively .Identify actionable insights, suggest recommendations and influence the direction of the business .Consulting and Relationship Management .Liaise with the respective Business or Function teams to build trust and relationship by efficient delivery and engagement .Regularly interface with architects, analysts, process designers, and BU/Function subject matter experts to understand and evaluate business opportunities .Create Artifacts and Build .Knowledge Base for CoE .While working with a business or function, continue to contribute to the Analytics Hub community of practice by building reusable artifacts, sharing knowledge and best practices .Establish contacts with Analytics experts within and outside of Cargill to keep pace with latest trends and updates from the Analytics industry and apply to Cargill as relevant .Miscellaneous Duties .As assigned on ad-hoc basis .Project demands may from time to time require work during non-standard business hours. .Provide consultation on project work and data related problems .Education, .Experience, Skills .Minimum .Required Qualifications .Bachelor’s Degree in MIS, Statistics, Business or related field .3 years of relevant professional experience in a business intelligence or analytics role .Strong experience in one or more data visualization technologies such as Tableau, Power BI. .Experience with data gathering, cleansing and analysis using tools such as Alteryx, .Solid work experience in Data Analytics and Reporting .Experience with analyzing data utilizing industry techniques and practices (filtering, classification) and analytics functions (over, median, rank) .Capable of presenting outcomes of analytic models and Iterations in a format easily understood by business .Consulting experience with a demonstrated ability to multi-task and apply initiative and creativity on challenging projects and keep the customers engaged with innovative solutions .Experience of working in a Center of Excellence setup and creating artifacts and sharing knowledge with other members of the community .Experience with Microsoft Excel, PowerPoint .Strong presentation and data visualization skills and proven ability to create well-crafted analytical presentations .Experience in requirement gathering through extensive workshops and creating business requirement documents .Prior experience working with multiple on-shore and off-shore Managed Service Providers, Shared Service models and working through matrixed relationships with no direct authority. .Strong experience of directly working with business or stakeholders from across the globe .Excellent communication and client engagement skills .Demonstrated curiosity and initiative .Ability to use an entrepreneurial approach to solving business problems .Ability to ask next level questions anticipating business inquiries and performing root cause analysis .Ability to work in a globally dispersed team and matrix organization .Preferred .Qualifications .Proficiency with big data technologies in Teradata and related statistical tools such as Excel Automation, Python, HTML , CSS .Microsoft certified professional in T-SQL with additional experience in Alteryx, Teradata, MS office, and BI tools like Power BI & Tableau .Demonstrated ability to influence and build understanding of the end to end ‘system’ of project delivery .Good to have knowledge in share point."
5,Data Analyst, Simpl,Bengaluru,Bengaluru,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=926782&s=58&guid=00000170cffbb3b59c6a9575531bad51&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_9a277555&cb=1584037344390&jobListingId=3493574980,"The thrill of working at a start-up that is starting to scale massively is something else. .Simpl (getsimpl.com) was formed in 2015 by Nitya Sharma, an investment banker from Wall Street and Chaitra Chidanand, a tech executive from the Valley, when they teamed up with a very clear mission - to make money simple, so that people can live well and do amazing things. Simpl is the payment platform for the mobile-first world, and we’re backed by some of the best names in fintech globally (folks who have invested in Visa, Square and Transferwise), and has Joe Saunders, Ex Chairman and CEO of Visa as a board member. .Everyone at Simpl is an internal entrepreneur who is given a lot of bandwidth and resources to create the next breakthrough towards the long term vision of “making money Simpl”. Our first product is a payment platform that lets people buy instantly, anywhere online, and pay later. In the background, Simpl uses big data for credit underwriting, risk and fraud modelling, all without any paperwork, and enables Banks and Non-Bank Financial Companies to access a whole new consumer market. .We are looking to hire a data analyst (Can be considered for a lead role depending on fit) who can work closely with product, investment, operations and marketing team on analytics. .The candidate would be a business aware self-starter responsible for enabling data driven decisions by setting up a reporting framework for daily/weekly metrics, helping with ad-hoc analysis and any fundamental research exercise. .This Role Requires Applicant To .Have passion for sourcing, manipulating and visualizing data .Apply direction and confidence to design qualitative and quantitative analysis .Stand before stakeholders, including senior leaders to clearly communicate strategic findings and recommendations .Partner with key members from technical and non-technical teams to build and enable high quality decisions .Prioritize and manage multiple priorities simultaneously .Advocate for working backwards from the customer .All basic qualifications, plus the following: .Degree in Computer Science, Engineering, Statistics, Mathematics, Statistics or a related field .SQL, Python/R (EDA experience), Visualisation tools (Qlik/Tableau) is must .Experience with AWS solutions .Experience working in very large data warehouse environments .Experience conducting large scale data, regression, and predictive analysis to support business decision making .Strong verbal/written communication and data visualization skills, including an ability to effectively communicate with both business and technical teams .We promise a culture of ownership coupled with competitive compensation and generous equity"
6,Analyst-Data Analytics, Verizon,Bengaluru,Bengaluru,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=873383&s=58&guid=00000170cffbb3b59c6a9575531bad51&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_71a7a047&cb=1584037344391&jobListingId=3522491759,"What you’ll be doing... .As a Specialist (Anlaytics), you will perform specific Analytics tasks assigned on various AI/ML Use cases. Also be able to lead and drive end to end solution for use cases with guidance from lead / manager. .Understand Use case details from the Lead / Manager .Perform tasks such as data ingestion, munging .Build ML models basis Solution approach provided by the Lead .Perform tasks related to Operationalization - eg wrapper script, REST service, Trigger, Monitoring etc. .What we’re looking for... .You'll need to have: .Bachelor’s Degree or four or more years of experience data science concepts (statistics, Algorithms) .Two or more years of relevant experience in EDA and ML .Experience in building models and operationalizing the same. .Experience in Python ecosystem (Python, scikit-Learn, Other packages, seaborn/matplotlib, Flask, NLP (nltk & other packages), Pyspark .Even better if you have: .Master's degree .Accuracy and attention to detail .Experience in data lake (hadoop), SQL, ETL .Strong problem solving, analytical, and research capabilities .Strong verbal and written communication .Experience presenting to and influencing functional leaders and stakeholders .When you join Verizon... .You’ll have the power to go beyond – doing the work that’s transforming how people, businesses and things connect with each other. Not only do we provide the fastest and most reliable network for our customers, but we were first to 5G - a quantum leap in connectivity. Our connected solutions are making communities stronger and enabling energy efficiency. Here, you’ll have the ability to make an impact and create positive change. Whether you think in code, words, pictures or numbers, join our team of the best and brightest. We offer great pay, amazing benefits and opportunity to learn and grow in every role. Together we’ll go far. .]]>"
7,Data Analyst, Luxoft,Bengaluru,Bengaluru,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=919243&s=58&guid=00000170cffbb3b59c6a9575531bad51&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_c2763696&cb=1584037344392&jobListingId=3408224239,"Project Description .The Risk and Finance solutions team requires a Business Analyst to work on the Business analysis, solution and design across the liquidity risk and balance sheet management systems for a range of regulatory and technical optimization requirements. .The successful candidate will be an experienced technology business analyst / solution engineer that has worked in a global banking environment on large scale and complex system architectures. .Responsibilities .•	Help business in scoping requirements and apprise them of various solutions alternatives in order to set achievable requirements which meet business objectives .•	Work with technology, vendor and business change teams to gain an in depth understanding of the end-to-end system implementation, architecture and liquidity risk/BSM business processes .•	Work closely and collaboratively with development and partner engineering teams. .•	Document and present systems solution designs and architecture. .•	Prepare detailed component functional specifications in line with bank standards. .•	Conduct impact analysis and create solutions managing technology impact and clearly document and raise assumptions/risks. .•	Define cost effective and detailed technology solutions that meet scoped business requirements in line with guiding principles and bank standards. .•	Provide support and guidance across all phases of the project lifecycle, including assistance defining test strategy/plans, data migration strategy, release planning etc. .•	Support release implementations weekends when necessary. .•	Assist with urgent ad-hoc business requirements that may arise. .•	Help drive technology design towards consolidated and simplified integration architecture. .•	Conduct solution training and walk-through for business stake holders .•	Build relationships with key stakeholders both business and technology. .•	Timely and clear communications to management. .Skills .Must .1) Banking Liquidity Risk (LCR,NSFR, ALMM) and Asset Liability Management (ALM) domain Only .2) Very good SQL experience and/or ETL knowledge .3) Good understanding of Derivatives and Wholesale banking products .4) Experience with Data Mapping and Data Warehousing .Nice to have .o	Knowledge on CVA & CCP's risk application process in Capital .Languages .English: Intermediate .Relocation package .If needed, we can help you with relocation process. Click here for more details: .See more details"
8,Data Analyst-Tableau, Siemens,Bengaluru,Bengaluru,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=344625&s=58&guid=00000170cffbb3b59c6a9575531bad51&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_1c8b7c28&cb=1584037344393&jobListingId=3507728310,"Data Analyst .We provide transactional .and digital Opportunity-to-Cash services from lead generation to the collection .of incoming payments .We support Siemens .businesses in driving top-line growth, profitability, cash conversion and .customer intimacy .We are increasing efficiency .across different businesses through process reengineering, simplification, .digital services and Opportunity-to-Cash integration. We act as one global .team, jointly delivering maximum value to our customers as their trusted .Partner of Choice by driving E2E processes and digital transformation in an .entrepreneurial way. .Change the future with .us. .Creating multiple Tableau dashboards to visualize the .business analysis .Understanding the requirement from the customers and .create a design document to finalize the number of dashboards or graphs, .graph type & algorithms and business logics required .Connecting Tableau to SQL database and creating .designed dashboards .iterative work on Formatting, alignments and look n .feel of dashboard .Data quality testing by comparing output of dashboard .with database. Functional testing by checking filters, navigation etc .Publishing dashboards on server and giving access to .users. Getting reviews from end users and modifying the dashboards .accordingly .We dont need .superheroes, just super minds. .Strong knowledge and working experience with Visualization .tool - .Tableau .Desktop .Good Knowledge of .Microsoft .Excel .Hands .on Experience in development of live .Interactive .Tableau Dashboards. .Experience .in the following: .Filters Quick Filters, Data Source Filters and Context Filters. .Calculated Fields with complex calculations (Level of Detail .calculations) .Parameters & Hierarchy .Sets, groups and bins .Joins, Unions & Data Blending .Creating .various charts including Bars, Stacked Bars, Doughnut Chart, Heatmaps etc .with Axis Blending and Dual axis in Tableau. .Ability .to use the co-ordinates data to create Maps .End-to-end .experience in designing and deploying data visualizations using Tableau .Desktop and Tableau Server. .Must .be a quick learner and should be able to think critically .Good .Communication skills (Verbal & Written) .Make your mark in our .exciting world at Siemens. .This role is based .in .Bengaluru .. Youll also get to visit other locations in India and .beyond, so youll need to go where this journey takes you. In return, youll .get the chance to work with teams impacting entire cities, countries and the .shape of things to come. .Were Siemens. A .collection of over 377,000 minds building the future, one day at a time in over .200 countries. We're dedicated to equality and we welcome applications that .reflect the diversity of the communities we work in. All employment decisions .at Siemens are based on qualifications, merit and business need. Bring your .curiosity and imagination and help us shape tomorrow. .Find out more about Siemens careers .at: www.siemens.com/careers .Organization: .Global Business Services .Company: .Siemens Technology and Services Private Limited .Experience Level: .Experienced Professional .Job Type: .Full-time"
9,Data Analyst, Information Services Group,Bengaluru,Bengaluru,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=955962&s=58&guid=00000170cffbb3b59c6a9575531bad51&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_a9b752a2&cb=1584037344394&jobListingId=3415038639,"Description .: .The Data Analyst will be a gate keeper of ISG Provider Lens data and related data assets within the IPL Data team. They will assist in overall data management and the streamlining of the IPL data by collaborating with other relevant teams. IPL Data team is responsible for maintaining provider’s data and creating capability decks. Team is also responsible in providing the correct information to the lead analysts for analyzing providers in Quadrants and helping in creating the standardized templates. .The successful candidate should ideally have significant ITO or BPO experience, with strong English writing and speaking skills, strong data analysis and analytical skills, good experience in performing secondary research, and exceptional organizational skills. .Responsibilities: .Execute customized data runs from ISG’s proprietary databases to address specific internal & external client .Collaborate with other relevant teams to work on streamlining the data collection and management processes .Work on building a referable database using a standard template. Thoroughly understand the contracts given in the IT services domain, and populate the database with the data points available in the contracts, like Pricing data, SLA data, Rate cards etc. .Thoroughly understand the underlying data, business implications and usage of data for research and consulting deliverables .Assist and develop excel models and frameworks on excel .Assist DataLabs with data manipulation and database management tasks .Ability and desire to meet the deadlines and deliver results with minimum supervision .Excellent time management skills and the ability to juggle multiple projects with aggressive deadlines .Skills Required: .Comfortable with analyzing large data sets .Excellent written and verbal skills .1 to 2 years of experience with focus on data analysis and research preferably in IT and BPO industry .Undergraduate degree from a good institute .Excellent advanced excel skills .Ability to locate and procure information from unstructured documents .The ability to extract meaningful information and formulate a point of view based on extracted data, analyzing available data and filling gaps using appropriate statistical methods .Skilled at working both independently and in a team environment .The ability to work a flexible schedule, collaborating with both US and European regions. Might occasionally require long work hours"
