,Name,Company,City,Location,Url,JOB_INFO
0,Data Analyst, Cotiviti,Pune,Pune,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=825526&s=58&guid=00000170cffb9c4aa3da733ec471e391&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_09e0622e&cb=1584037338413&jobListingId=3326465477,"PRINCIPLE PURPOSE OF JOB .Financial Data Analyst’s support a growing client base while combining their reporting skills with payment policy. The Financial Data Analyst is a key member of the internal team, as well as a contributor to the Internal Client team, and works closely with the US Financial Data Analyst Team and the Database team. The Financial Data Analyst is responsible for designing, maintaining and enhancing reports to be consumed by Finance and Internal Client Teams. Also are instrumental in generating and validating Invoices as part of the reporting job profile .JOB RESPONSIBILITIES .Prepping the data to run reports .Preparing reports in Business Object, SQL, Tableau, Excel .Prepare reports in Crystal Reporting Tool .Preparing reports based on requests .Preparing and validating Invoices .Running the Weekly and Monthly reports .Participate in internal and client meetings to review reports and deliverables and incorporate feedback .Train new resources as the team grows .ATTRIBUTES AND BEHAVIORS .Develops and maintains positive working relationships with others. .Shares ideas and information .Assists colleagues unprompted. .Takes pride in the achievement of team objectives. .Has credibility with peers and senior managers. .Self-motivated– driven to achieve results. .Works with a sense of urgency. .High customer service ethic– is passionate about meeting customer expectations and improving service levels. .Keeps pace with change– acquires knowledge/skills as the business evolves. .Handles confidential information with sensitivity. .RELEVANT EXPERIENCE& EDUCATIONAL REQUIREMENTS .Bachelor’s degree in engineering, Computer application or Bachelor’s degree in Mathematics or MBA in Systems/IT/Finance .Minimum 2 years of experience as a Reporting Analyst .US Healthcare Awareness .Good Analytical Skill .Fair understanding of RDBMS, sound knowledge of SQL .Experience in any of the BI tools/ Crystal Reports, Tableau .Ability to use logical reasoning to problem-solve issues. .Proficient in handling data analysis and reporting in Excel .Excellent English reading, writing, and speaking skills .SKILLS& COMPETENCIES .Strong reporting, critical thinking and problem solving skills. .Excellent verbal and written communication skills. .Strong organizational skills and adaptive capacity for rapidly changing priorities and workloads. .Ability to work well independently and maintain focus on a topic for prolonged periods of time. .Comfort in working with team members that are remote and located in the US, India or other geographies. .Ability to work within a matrix organization. .JOB DEMANDS .Occasional requirement to travel (primarily related to training and Company meetings) .Flexibility to travel based on business need preferred. .Ability to work seated at a computer for long periods of time. .KEY CONSTITUENTS .No direct reports. .Works with all Cotiviti business teams"
1,Data Information Analyst, Red Hat,Pune,Pune,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=876271&s=58&guid=00000170cffb9c4aa3da733ec471e391&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_505cb74b&cb=1584037338415&jobListingId=3459691822,"At Red Hat, we connect an innovative community of customers, partners, and contributors to deliver an open source stack of trusted, high-performing solutions. We offer cloud, Linux, middleware, storage, and virtualization technologies, together with award-winning global customer support, consulting, and implementation services. Red Hat is a rapidly growing company supporting more than 90% of Fortune 500 companies. .THe Red Hat Operations team is looking for a Data Information Analyst to join us in Pune, India. In this role, you will perform sales analytics and apply data science principles to support global go-to-market synergy operations between Red Hat and IBM. You will be responsible for collaborating with field sales leaders, account managers, and sales operations executives to produce and compile detailed sales lead and pipeline analytics, synergy bookings forecasts, sales trend analyses, and other sales metrics in support of the IBM and Red Hat synergy business case. You’ll take initiative in working with global field, finance, and IT teams to lead projects that develop repeatable and scalable processes and system logic for sales reporting. Other duties will include compiling, analyzing, and interpreting sales bookings data across all channels, creating business plans and dashboards, and participating in various structured and ad hoc planning and analysis projects. .Build and manage sales reports and dashboards .Compile, analyze, and interpret sales data visually for consumption by leadership teams .Capture and articulate complex data requirements to systems teams to support automation and scalability of reporting and analytics .Provide analytical support and generate reporting for key sales and territory metrics .Manage and organize folders, reports, and dashboards in Salesforce.com (SFDC) .Engage with the data cleansing teams across geographies to ensure that sales data is consistent and accurate for management reporting .Serve as the primary point of contact for the global Field Leadership team’s reporting, visualization, and analysis support .Bachelor's degree, preferably in computer science, economics, mathematics, or statistics .Advanced experience with spreadsheets, including knowledge of pivot tables, formulas, macros, etc. .Advanced experience with Salesforce.com (SFDC) or similar customer relationship management (CRM) tools, including reporting and dashboard construction .Intermediate experience using common data science tools like Python, SQL, Tableau, and Amazon Redshift .Enthusiastic, detail-oriented, results-oriented, and team-focused .Excellent written, visual, and verbal communication skills .Demonstrated solid customer service and interpersonal skills in a fast-paced environment .Flexibility to work extended hours during periods of high demand, for example during quarter and year-end .Reputation and record of success as an exemplary business professional .Demonstrated ability to contribute in high performing teams .Demonstrated ability to create positive partnerships with sales, services, IT, and finance associates .High-energy professional with entrepreneurial, risk-taking expertise and the ability to empower teammates, understand and present an overarching vision, and maintain extremely high standards of delivery .Operational excellence and demonstrated ability to deliver results in multiple challenging situations .Team-focused with the ability to achieve or exceed objectives while working collaboratively with other team members to achieve mutual success .Excellent interpersonal skills, business maturity, flexibility, confidence, and fortitude to establish and sustain a winning, “can-do” attitude as a high performing member of the team .Red Hat is proud to be an equal opportunity workplace and an affirmative action employer. We review applications for employment without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, ancestry, citizenship, age, veteran status, genetic information, physical or mental disability, medical condition, marital status, or any other basis prohibited by law. .Red Hat does not seek or accept unsolicited resumes or CVs from recruitment agencies. We are not responsible for, and will not pay, any fees, commissions, or any other payment related to unsolicited resumes or CVs except as required in a written contract between Red Hat and the recruitment agency or party requesting payment of a fee."
2,Data Analyst, Merkle Sokrati,Pune,Pune,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=437149&s=58&guid=00000170cffb9c4aa3da733ec471e391&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_6f5a896c&cb=1584037338416&jobListingId=3521785705,"Merkle|Sokrati, a leader in Paid Search & Social Advertising, provides a sophisticated technology solution to efficiently manage Digital Marketing campaigns for several large brand clients in India. The platform deals with 20M+ impressions per day, real-time optimization algorithms, a scalable & intuitive analytics platform and more - all developed in-house. We are currently a 700+ people team, and growing extremely fast to gain more market share and roll out even cooler technology solutions in Digital Advertising space. .To be a Data Analyst at Sokrati, you need to be a jack of multiple trades: data mining, data visualization and presentation. Data analyst at Sokrati is someone who routinely creates stories out of web scale data that have a direct business impact. .If you are excited about: .Have an unmatched analytics experience that allows you to work on bleeding-edge technologies. .Being a part of hottest profession of the decade .Learning & Growing far beyond your current horizon .Competitive Compensation with the usual benefits. .A place full of like-minded & ridiculously smart folks .A start-up culture that you’d cherish forever in your work life .@Sokrati .Participate in every aspect of building a data-based product .Solve business problem that can impact multimillion marketing spends for some of the most popular brands. Conducting in-depth and detailed oriented data analysis to: .Provide insights/root causes for business performance .Identify new opportunity .Prepare business case .You’d need to be Awesome at: .Understanding of business, consumer and digital marketing data – micro vs. macro, representation & data formats (text, databases, spreadsheets, etc.) .Data analysis, data profiling, data mining, data clustering and segmentation, data visualization and presentation .Excellent knowledge of MS Excel and familiarity with query writing on SQL .Automation and scaling to deliver widespread (across accounts, industries, etc.) impact without incremental manual efforts .If you are: .4+ years experience in the application of data analytics .University degree in Engineering, Mathematics or related area .Self starter and team player .Comfortable in grokking and working with new technologies quickly .Love Digital Marketing and everything around it .Strong Knowledge of R/Python .Strong believer of data driven decision-making .Then, we would love to have a chat with you. The position will be based out of our office in Pune"
3,Data Analyst, Affinity Express,Pune,Pune,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=4120&s=58&guid=00000170cffb9c4aa3da733ec471e391&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_ee13cef5&cb=1584037338417&jobListingId=2529920543,"Position title: .Data Analyst .Office location: .Pune, India .Required Skills .Candidate should have good typing skills and MS Office applications knowledge .Qualification .Graduates/Postgraduates with excellent English communication skills and willingness to work in rotating shift"
4,Data Analyst, Brave Venture Labs,Pune,Pune,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=215203&s=58&guid=00000170cffb9c4aa3da733ec471e391&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_129a942f&cb=1584037338417&jobListingId=3252924798,"About us. .Brave finds rising star talent for high growth companies. That means we’re always on the lookout for brilliant folks like you. We work to understand your work interests, career goals, and talents. And then put you in touch with our clients who might want to interview you. Feel free to share our details with a friend or peer. We’d be happy to link them with jobs too. .About our client. .Our client is a venture-backed technology company operating in East Africa. We build and deploy cloud-connected retail outlets, which serve as consumer access points for goods and services delivered in partnership with major suppliers. Their first consumer solution delivers significant cost savings and quality of life improvements. .If you share their passion for technology and vision for global impact and think that you will thrive in a fast-paced work environment, this is the role for you! .About your role. .As a Data Analyst, you will drive our analytics function by generating data-driven insights to guide commercial and operating strategy; developing metrics, dashboards, and statistical analyses; helping to shape our overall vision & strategy. .What You Will Do. .Build models to identify trends, forecast performance, and identify improvements to the company strategy, products, and operations .Design and run data analyses to guide decision-making .Design and prepare company dashboards and other key stakeholder reporting .Design and develop automation tools to streamline day-to-day activities .Identify and coordinate data infrastructure improvements with the software team .Drive cost-saving and increased revenue processes through data insights .Enable the success of the team members by supporting them in accessing, understanding, and utilizing data .Ensure consistency, accuracy, and overall integrity of business metrics .Develop and maintain business intelligence documentation, training materials, best practices, and overall data toolkit .Skills. .Bachelor’s degree, ideally in Computer Science, Math, Statistics, or Economics (Master's degree a plus) .Experience in data analysis, consulting, finance, or other quantitatively rigorous roles (ideally, 3-5+ years) .The ability to balance priorities, clarify stakeholder requirements, pay keen attention to detail, and generally keep deliverables on schedule .Proficiency with Tableau and/or Looker, SQL, Excel, and statistical methods (Python an added plus) .Ability to communicate technical details clearly and concisely to management & external Stakeholders .Ability to perform people and process analysis .Passion for problem-solving, data, and analytics"
5,Data Analyst, QuinStreet,Pune,Pune,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=437149&s=58&guid=00000170cffb9c4aa3da733ec471e391&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_68267a1f&cb=1584037338418&jobListingId=3446980172,"Corporate Overview .QuinStreet makes the digital media channel affordable at scale for marketing clients. We match high-intent consumers in one of the nation’s largest media networks to the right solution and the right client. .Our industry leading segmentation & matching technology platform allows marketing clients to target and reach “research & compare” customer prospects, segment by segment. Our databases and optimization algorithms are built from almost 20 years and billions of dollars of online media experience. .We believe in the direct measurability of digital media. We believe in performance marketing. (We pioneered it.) And we believe in the advantages of technology. We bring all of this together to deliver truly great results for our clients in the world’s biggest channel. .Data Analyst .QuinStreet makes the digital media channel affordable at scale for marketing clients. We match high-intent consumers in one of the nation’s largest media networks to the right solution and the right client. .Our industry-leading segmentation & matching technology platform allows marketing clients to target and reach “research & compare” customer prospects, segment by segment. Our databases and optimization algorithms are built from almost 20 years and billions of dollars of online media experience. .We believe in the direct measurability of digital media. We believe in performance marketing. (We pioneered it.) And we believe in the advantages of technology. We bring all of this together to deliver truly great results for our clients in the world’s biggest channel. .Job Category .We are looking for an incredibly smart, dynamic and strategic Data Analyst to develop data-driven insights that enable QuinStreet’s Marketing and Media teams maximize profitability while improving customer relationships. Create and execute product reporting to B2B vendor clients on a daily basis. This role will create and execute reports for various product lines – Leads, eSeminars, Display and Clicks – as well as keeping detailed records on campaign delivery and updating/tracking monthly delivery numbers. This person will be extremely detailed oriented, client focused, with the ability to time manage to ensure all reporting is delivered on time and accurately. You will use data mining and statistical methods to extract valuable insights from our data that lead to maximizing ROI. .Responsibilities .Data diagnostics – extracting, scrubbing and patching very large sets of data together from a variety of internal and external sources .Reporting – summarizing data and automating reports around campaign performance, which will be utilized frequently in client interactions .Forecasting – creating predictive models for new and existing clients relating to site traffic, conversion and pricing .Campaign Optimization – creating hypothesis tests and regression models to continuously calibrate campaign attributes to achieve maximum client spend and ROI .Effectively communicating your insights and findings to other members of our Marketing and Media teams .Qualifications .B.S. degree in quantitative major like Statistics, Mathematics, Operations Research, Physics, Computer Science or related .M.S. degree strongly preferred in one of the majors mentioned above .3+ years of experience in an analytical role, applying statistical methods .Strong applied analytics: .proven business and analysis skills .Strong and persuasive communication skills: .exceptional visualization, verbal and written communication skills that have helped expand your analytical influence .Outstanding problem solving skills: .you’re not just repeating a playbook, you’re looking at every problem with fresh eyes, and digging deep for insights and solutions .Independence and proactivity: .self-starter with demonstrated experience in leading and delivering impactful solutions to large business problems .Interpersonal and presentation skills: .you are able to confidently communicate and present insights and recommendations to senior management .Proficiency in MS Excel and familiarity with database systems (Oracle, SQL Server, etc) .Tableau and SQL experience is a plus .“#LI-DNI”"
6,Data Analyst, Hexanika,Pune,Pune,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=437149&s=58&guid=00000170cffb9c4aa3da733ec471e391&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_bdf91e8b&cb=1584037338419&jobListingId=3490479694,"We are looking to hire a Data Analyst to join our data team. Your responsibility would include for developing reports, and troubleshooting data issues. To do well in this role you need a very fine eye for detail, experience as a data analyst, and deep understanding of the popular data analysis tools and databases. .Role & Responsibilities: .Graduate or Post Graduate in Computer Science .Work experience: .3+ as a data analyst or in related field. .Experience with SQL .Ability to understand and analyze SQL queries. .Should have prior experience with executing SQL. .Should have the ability to prepare sample test data for testing .Should have the ability to implement business logic requirements via SQL and test the code developed by Development team. .Understands Data model and have ability to build data model .Understands Entity relationship based on data entities. .Experience of BFS domain and knowledge of domain terminology is added plus .Job Location: .Pune .To apply for this exciting opportunity, please email us your profile on careers@hexanika.com"
7,Data Analyst, PubMatic,Pune,Pune,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=437149&s=58&guid=00000170cffb9c4aa3da733ec471e391&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_dd0a11f9&cb=1584037338420&jobListingId=3494922039,"Company Description .PubMatic is a digital advertising technology company for premium content creators. The PubMatic platform empowers independent app developers and publishers to control and maximize their digital advertising businesses. PubMatic’s publisher-first approach enables advertisers to maximize ROI by reaching and engaging their target audiences in brand-safe, premium environments across ad formats and devices. Since 2006, PubMatic has created an efficient, global infrastructure and remains at the forefront of programmatic innovation. Headquartered in Redwood City, California, PubMatic operates 13 offices and nine data centers worldwide. .Job Description .PubMatic is looking for a sharp analytical individual to work as a Data Analyst in the Finance Reporting & Insights function. People with a penchant for extracting the truth out of numbers and summarizing it for the finance and operations teams would be best fit for the role. .Responsibilities: .The Data Analyst will be responsible for collecting and analyzing tremendous data sets using tools such as Microsoft Excel, Access, SQL and hive databases and presenting them in easy-to-understand formats. .The Data Analyst will be expected to retrieve data from publishers, ad networks & aggregators UI and develop spreadsheets and excel macros to filter, analyze, generate reports and draw conclusions from that data. It will be important to focus on the primary metrics while understanding the business requirements of the different teams within the business. .Apart from reporting tasks, the Data Analyst will work closely with other functions in the Pune Billing Team to assist with preparation of monthly publisher statements, tools that will improve productivity and the revenue yield generated for our publishers. .Requirements: .Exposure to business analysis, tracking metrics and building revenue monitoring tools .Should be involved in MIS functions requiring independent analysis of data .Exposure to financial modeling and operations analysis is a plus .Basic knowledge of running mapreduce jobs in hive databases .Basic programming knowledge .Technical Skills: .MS Office products including strong grasp of Excel (Charting, Formulae, Pivots .Advance Excel/Access: .VB Macros in Excel and MS Access .VBA programming exposure is a plus .MS-SQL / MySQL .Hands on experience on Hive Database / Data Analytics tools .Added advantage if hands on experience in HTML / PHP / Java Script / Python .General attributes: .Any graduation, as specified by role, with good academic record / Masters is a plus .Total work experience of 3 to 5 years in a fast paced change-oriented environment .Worked in shifts interacting with US or UK clientele / vendors .Logical reasoning ability, problem solving and analytical mindset .Pro-active, quick learning, detail oriented .Excellent written and spoken English with ability to handle communication across levels .Qualifications .Graduation in Math, Statistics, Science or Engineering .#LI-MD1 .Additional Information .PubMatic is proud to be an equal opportunity employer; we don’t just value diversity, we promote and celebrate it. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. .All your information will be kept confidential according to EEO guidelines."
8,Data Analyst, CrowdStrike,Pune,Pune,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=136292&s=58&guid=00000170cffb9c4aa3da733ec471e391&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_58b35d3c&cb=1584037338421&jobListingId=3488608418,
9,Data Analyst, Druva,Pune,Pune,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=636124&s=58&guid=00000170cffb9c4aa3da733ec471e391&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_faada86f&cb=1584037338422&jobListingId=3516223755,"Data Analyst .at Druva .(View all jobs) .Pune .Druva is the global leader in Cloud Data Protection and Management, delivering the industry’s first data management-as-a-service solution that aggregates data from endpoints, servers and cloud applications and leverages the public cloud to offer a single pane of glass to enable data protection, governance and intelligence–dramatically increasing the availability and visibility of business critical information, while reducing the risk, cost and complexity of managing and protecting it. .Druva’s award-winning solutions intelligently collect data, and unify backup, disaster recovery, archival and governance capabilities onto a single, optimized data set. As the industry’s fastest growing data protection provider, Druva is trusted by over 4,000 global organizations, and protects over 40 PB of data. .Please do visit us at : https://www.druva.com/about/ .You will be part of the team whose responsibilities include analyzing data to find opportunities for reducing cost of operating the Druva SaaS platform. You are passionate about mining data with a keen eye for detail as well as zooming out for bigger picture to identify trends and patterns in data. You will have opportunities to build and augment a system including set of tools that leverage statistical methods to systematically monitor and analyze data on an ongoing basis. You will use the analysis to propose and influence newer initiatives that helps drive down cost of operating Druva SaaS platform. .Key Responsibilities: .Mine, analyze and co-relate data across product and service databases to identify trends, patterns and anomalies in service cost.. .Work with stakeholders across engineering, operations and finance team to propose cost reduction initiatives. .Build and/or enhance system, tools and scripts for monitoring resource usage and costs as well as reporting on trends and predictions. .Respond to cost escalations by performing quick analysis and coming up with root cause analysis for cost increases. .Experience: .Expertise and hands-on experience in data analysis and mining for both numerical data as well as unstructured data using various methods including statistical analysis. .Hands-on experience building and leveraging necessary tools that aid data analysis, including programming experience in Python, R or equivalent languages. .Experience in building and/or leveraging visualization, prediction and recommendation systems. .Experience with SaaS platforms like AWS and services is a must. .Experience with data backup and management SaaS products is a plus. .Strong experience delivering data science projects that drive timely business results and outcome. .Great communication skills in conveying the interpretation and meaning of data to business stakeholders and executive team. .6+ years of industry experience in the domain of data analysis and data science. .Advanced degree in Computer Science and/or Mathematics is a must with desirable specialization in data science. .M.Tech/BE/B.TECH/MCA/MSC/BCA/BCS OR equivalent degree"
