Title,Location,Company,Salary,Sponsored,Description
BlockChain Developer,India,Bloom Consulting Services,0,Organic,None
.Net Developer with Angular,Remote,Raytex IT Services,"₹7,00,000 - ₹15,00,000 a year",Organic,"About Company:
Raytex IT Services- www.raytex.co.in
We are a boutique software company specializing in helping our clients develop unique and industry leading software products. We are different from other traditional IT services companies as we handle everything from Product Management, Product Development to DevOps for our clients with an added layer of Remote Infra Management and Managed Security. We specialize in developing products on Microsoft and Opensource platforms which are hosted in traditional data centers or in cloud environments (Azure & AWS).
We develop highly scalable and complex software to handle the growing needs of Shipping, Logistics and Marine Transportation industries. Shipping is one of the industries that is witnessing rapid automation and digitalization. About $7 Trillion worth of global business is done using shipping and opportunity to automate and improve the efficiencies is huge. Along with some of our clients, we are at the cutting edge of this transformation.
Recently we have embarked on developing blockchain based solutions to handle some of the unique problems, which lend themselves to usage of Distributed Ledger Technologies. Future looks bright and we are looking for enthusiastic and hardworking engineers like you to join us on this journey.
Company Address:
Spacion Towers 4th floor, Survey No.85, Vittalrao , Hyderabad, Telangana, India.
Job description:
Summary of Job:
Full stack .Net developer to build to develop web-based application using languages and technologies like Angular, C#, .Net Core, SQL Server, REST API. You will create applications from scratch, configure existing systems and provide user support.
Should be an independent contributor and eager to learn new tools and technologies. Need to closely work with tech leads to build the product.
Well versed with analysing business and technical requirements
You should be able to write functional code with a sharp eye for spotting defects. You should be a team player and excellent communicator, passionate about .NET framework and software design/architecture.
Your goal will be to work with internal teams to design, develop and maintain software.
Key Responsibilities:
Participate in requirements analysis
Collaborate with internal teams to produce software design and architecture
Write clean, scalable code using .NET programming languages
Test and deploy applications and systems
Proficient understanding of code versioning tools like VSTS
Experience creating database schemas that represent and support business processes
Revise, update, refactor and debug code
Must have excellent problem-solving skills solve technical challenges
Must be able to take initiative to be productive and efficient
Adhere to coding standards and best practices and maintain clean code
Develop technical documentation
Provide technical support
Excellent verbal and written communication skills
Attention to detail
Candidate profile:
Must Have:
Minimum 5 to 10 years of proven experience developing web-based software development using .NET stack.
Well versed with the ASP.NET, .Net core, SQL Server and design patterns (e.g. Model-View-Controller (MVC))
Good exposure on ASP.NET web APIs or experience working with RESTful APIs.
Strong exposure on C#.
At least 2 to 3 years of experience in SQL Server and writing queries.
Angular, jQuery, bootstrap experience is a must.
Worked on Project using Agile
Ability to complete all phases of software development life cycle including analysis, design, functionality, testing and support.
Team-player with strong communication & collaboration skills.
Prior experience working with large scale databases and applications.
Good to have:
Knowledge on Azure cloud or other cloud platforms
Experience with No Sql database like Azure Cosmos DB, Mongo DB or Elastic.
Exposure to Microservices architecture.
Job Type: Full-time
Salary: ₹700,000.00 - ₹1,500,000.00 per year
Experience:
.net core: 1 year (Preferred)
Angular: 1 year (Preferred)
Dotnet Full Stack Developer: 5 years (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
Yes"
PHP Developer(Laravel),"Bengaluru, Karnataka",DigiXhub,"₹25,000 - ₹48,737 a month",Organic,"'DigiXHub is one of the Best Blockchain Application Development Company in Bangalore that provides solutions such as Blockchain Development(Public, private, Consortium Blockchain), Cryptocurrency Exchanges, ICO & ICO Marketing Services, Cryptocurrency Wallet Development, Smart contract Development etc..,'
Location : Remote/Work From Home
Experience : 3 to 6 years
Notice period : Immediate joiner
PHP / Laravel developer is an IT professional specialized in developing web applications using Laravel Framework within PHP programming language.
**
Responsibilities and Duties
Develop, record and maintain cutting edge web-based PHP applications on portal plus premium service platforms
Build innovative, state-of-the-art applications and collaborate with the User Experience (UX) team
Ensure HTML, CSS, and shared JavaScript is valid and consistent across applications
Prepare and maintain all applications utilizing standard development tools
Utilize backend data services and contribute to increase existing data services API
Lead the entire web application development life cycle right from concept stage to delivery and post launch support
Convey effectively with all task progress, evaluations, suggestions, schedules along with technical and process issues
Document the development process, architecture, and standard components
Coordinate with co-developers and keeps project manager well informed of the status of development effort and serves as liaison between development staff and project manager
Keep abreast of new trends and best practices in web development
Required Experience, Skills and Qualifications
Previous working experience as a PHP / Laravel developer
BS/MS degree in Computer Science, Engineering, MIS or similar relevant field
In depth knowledge of object-oriented PHP and Laravel 5 PHP Framework
Hands on experience with SQL schema design, SOLID principles, REST API design
Software testing (PHPUnit, PHPSpec, Behat)
MySQL profiling and query optimization
Job Type: Full-time
Salary: ₹25,000.00 - ₹48,737.00 per month
Benefits:
Internet reimbursement
Paid time off
Work from home
Schedule:
Day shift
Flexible shift
Supplemental Pay:
Overtime pay
Experience:
Laravel: 2 years (Preferred)
Industry:
Software Development
Work Remotely:
Yes"
Junior PHP Developer,"Ghaziabad, Uttar Pradesh",Atulya Group,0,Organic,"'DigiXHub is one of the Best Blockchain Application Development Company in Bangalore that provides solutions such as Blockchain Development(Public, private, Consortium Blockchain), Cryptocurrency Exchanges, ICO & ICO Marketing Services, Cryptocurrency Wallet Development, Smart contract Development etc..,'
Location : Remote/Work From Home
Experience : 3 to 6 years
Notice period : Immediate joiner
PHP / Laravel developer is an IT professional specialized in developing web applications using Laravel Framework within PHP programming language.
**
Responsibilities and Duties
Develop, record and maintain cutting edge web-based PHP applications on portal plus premium service platforms
Build innovative, state-of-the-art applications and collaborate with the User Experience (UX) team
Ensure HTML, CSS, and shared JavaScript is valid and consistent across applications
Prepare and maintain all applications utilizing standard development tools
Utilize backend data services and contribute to increase existing data services API
Lead the entire web application development life cycle right from concept stage to delivery and post launch support
Convey effectively with all task progress, evaluations, suggestions, schedules along with technical and process issues
Document the development process, architecture, and standard components
Coordinate with co-developers and keeps project manager well informed of the status of development effort and serves as liaison between development staff and project manager
Keep abreast of new trends and best practices in web development
Required Experience, Skills and Qualifications
Previous working experience as a PHP / Laravel developer
BS/MS degree in Computer Science, Engineering, MIS or similar relevant field
In depth knowledge of object-oriented PHP and Laravel 5 PHP Framework
Hands on experience with SQL schema design, SOLID principles, REST API design
Software testing (PHPUnit, PHPSpec, Behat)
MySQL profiling and query optimization
Job Type: Full-time
Salary: ₹25,000.00 - ₹48,737.00 per month
Benefits:
Internet reimbursement
Paid time off
Work from home
Schedule:
Day shift
Flexible shift
Supplemental Pay:
Overtime pay
Experience:
Laravel: 2 years (Preferred)
Industry:
Software Development
Work Remotely:
Yes"
BLOCKCHAIN DEVELOPER,"Mohali, Punjab",Walkwel,0,Organic,"'DigiXHub is one of the Best Blockchain Application Development Company in Bangalore that provides solutions such as Blockchain Development(Public, private, Consortium Blockchain), Cryptocurrency Exchanges, ICO & ICO Marketing Services, Cryptocurrency Wallet Development, Smart contract Development etc..,'
Location : Remote/Work From Home
Experience : 3 to 6 years
Notice period : Immediate joiner
PHP / Laravel developer is an IT professional specialized in developing web applications using Laravel Framework within PHP programming language.
**
Responsibilities and Duties
Develop, record and maintain cutting edge web-based PHP applications on portal plus premium service platforms
Build innovative, state-of-the-art applications and collaborate with the User Experience (UX) team
Ensure HTML, CSS, and shared JavaScript is valid and consistent across applications
Prepare and maintain all applications utilizing standard development tools
Utilize backend data services and contribute to increase existing data services API
Lead the entire web application development life cycle right from concept stage to delivery and post launch support
Convey effectively with all task progress, evaluations, suggestions, schedules along with technical and process issues
Document the development process, architecture, and standard components
Coordinate with co-developers and keeps project manager well informed of the status of development effort and serves as liaison between development staff and project manager
Keep abreast of new trends and best practices in web development
Required Experience, Skills and Qualifications
Previous working experience as a PHP / Laravel developer
BS/MS degree in Computer Science, Engineering, MIS or similar relevant field
In depth knowledge of object-oriented PHP and Laravel 5 PHP Framework
Hands on experience with SQL schema design, SOLID principles, REST API design
Software testing (PHPUnit, PHPSpec, Behat)
MySQL profiling and query optimization
Job Type: Full-time
Salary: ₹25,000.00 - ₹48,737.00 per month
Benefits:
Internet reimbursement
Paid time off
Work from home
Schedule:
Day shift
Flexible shift
Supplemental Pay:
Overtime pay
Experience:
Laravel: 2 years (Preferred)
Industry:
Software Development
Work Remotely:
Yes"
Blockchain Wallet Developer,"Mumbai, Maharashtra",HR Devi and Associates,"₹9,00,000 - ₹11,00,000 a year",Organic,"Blockchain Wallet Developer
Mumbai


Job Description :
Research, design, develop, and test blockchain technologies

Brainstorm and help evaluate applications for new tools and technologies as they continually evolve

- Maintain and extend current client- and server-side applications responsible for integration and business logic

Be involved in the global blockchain community—work on implementing and integrating the latest improvement proposals

Document new solutions as well as maintaining that of existing ones
Experience
3 - 7 Years

Salary
9 Lac To 11 Lac P.A.

Industry
IT Software - Application Programming / Maintenance

Qualification
B.Tech/B.E

Key Skills
Research design develop and test blockchain technologies Advanced Java script Node JS C++ JAVA Pythone


About Company
Email ID
swati5547@gmail.com"
Jr. PHP Developer,"Hyderabad, Telangana",Niosys,0,Organic,"Blockchain Wallet Developer
Mumbai


Job Description :
Research, design, develop, and test blockchain technologies

Brainstorm and help evaluate applications for new tools and technologies as they continually evolve

- Maintain and extend current client- and server-side applications responsible for integration and business logic

Be involved in the global blockchain community—work on implementing and integrating the latest improvement proposals

Document new solutions as well as maintaining that of existing ones
Experience
3 - 7 Years

Salary
9 Lac To 11 Lac P.A.

Industry
IT Software - Application Programming / Maintenance

Qualification
B.Tech/B.E

Key Skills
Research design develop and test blockchain technologies Advanced Java script Node JS C++ JAVA Pythone


About Company
Email ID
swati5547@gmail.com"
Blockchain Architect/Developer,"Hyderabad, Telangana",albanero,0,Organic,"Blockchain Wallet Developer
Mumbai


Job Description :
Research, design, develop, and test blockchain technologies

Brainstorm and help evaluate applications for new tools and technologies as they continually evolve

- Maintain and extend current client- and server-side applications responsible for integration and business logic

Be involved in the global blockchain community—work on implementing and integrating the latest improvement proposals

Document new solutions as well as maintaining that of existing ones
Experience
3 - 7 Years

Salary
9 Lac To 11 Lac P.A.

Industry
IT Software - Application Programming / Maintenance

Qualification
B.Tech/B.E

Key Skills
Research design develop and test blockchain technologies Advanced Java script Node JS C++ JAVA Pythone


About Company
Email ID
swati5547@gmail.com"
Senior Java Developer,"Vadodara, Gujarat",Adrixus,0,Organic,"Blockchain Wallet Developer
Mumbai


Job Description :
Research, design, develop, and test blockchain technologies

Brainstorm and help evaluate applications for new tools and technologies as they continually evolve

- Maintain and extend current client- and server-side applications responsible for integration and business logic

Be involved in the global blockchain community—work on implementing and integrating the latest improvement proposals

Document new solutions as well as maintaining that of existing ones
Experience
3 - 7 Years

Salary
9 Lac To 11 Lac P.A.

Industry
IT Software - Application Programming / Maintenance

Qualification
B.Tech/B.E

Key Skills
Research design develop and test blockchain technologies Advanced Java script Node JS C++ JAVA Pythone


About Company
Email ID
swati5547@gmail.com"
Sr. Solution Engineer - Blockchain Developer,"Chennai, Tamil Nadu",OASYS Cybernetics,0,Organic,"Blockchain Wallet Developer
Mumbai


Job Description :
Research, design, develop, and test blockchain technologies

Brainstorm and help evaluate applications for new tools and technologies as they continually evolve

- Maintain and extend current client- and server-side applications responsible for integration and business logic

Be involved in the global blockchain community—work on implementing and integrating the latest improvement proposals

Document new solutions as well as maintaining that of existing ones
Experience
3 - 7 Years

Salary
9 Lac To 11 Lac P.A.

Industry
IT Software - Application Programming / Maintenance

Qualification
B.Tech/B.E

Key Skills
Research design develop and test blockchain technologies Advanced Java script Node JS C++ JAVA Pythone


About Company
Email ID
swati5547@gmail.com"
