Title,Location,Company,Salary,Sponsored,Description
Data Scientist,"Mumbai, Maharashtra",Geoconnectin,"₹4,00,000 a year",Organic,"Experience: 0- 3 Years
Job Location: India
Education : B.Tech / M.Tech/MCA
Process: Interview followed by Interview
Immediate Joining before 15th October 2020
Job Description as follows:
Having a strong background in machine learning who are extremely passionate about solving real-world applied problems in the various business domains. A real opportunity to expand skill-sets and a chance to learn and use the latest advances and approaches in machine learning and data mining on real-world datasets.
Working in a fast-paced work environment where one is expected to be self-motivated and are measured on performance.
Job Responsibilities
Ability to understand a problem statement and implement analytical solutions & techniques independently or with minimal supervision
Work and collaborate with other teams to deliver and create value for clients
Fast learner: ability to learn and pick up a new language/tool/ platform quickly
Conceptualize, design, and deliver high-quality solutions and insightful analysis
Conduct research and prototyping innovations; data and requirements gathering; solution scoping and architecture; consulting clients and client-facing teams on advanced statistical and machine learning problems.
Ability to deliver AIML based solutions around a host of domains and problems, with some of them being: Customer -Segmentation & Targeting, Propensity Modeling, Churn Modeling, Lifetime Value Estimation, Forecasting, Recommender Systems, Modeling Response to Incentives, Marketing Mix Optimization, Price Optimization
Experience Required:
Intermediate to expert level proficiency in at least one of R and Python
Ability to discover effective solutions to complex problems. Strong skills in data structures and algorithms.
Experience of working on a project end-to-end: problem scoping, data gathering, EDA, modeling, insights, and visualizations
Problem-solving: Ability to break the problem into small problems and think of relevant techniques which can be explored & used to cater to those
Intermediate to advanced knowledge of machine learning, probability theory, statistics, and algorithms. You will be required to discuss and use various algorithms and approaches on a daily basis.
Experience of working in cloud-based environments such as AWS, GCP, Azure
Good to Have :
Experience in one of the upcoming technologies like deep learning, NLP, image processing, recommender systems
The experience of working in on one or more domains:
Experience in working with Linux computing environment and use of command-line tools like sed/awk
Grasp at databases including RDBMS, NoSQL, MongoDB etc.
RoleSoftware Developer
Industry TypeConstruction, Engineering, Cement, Metals
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG : B.Tech/B.E. in Any Specialization, Computers
PG : MS/M.Sc(Science) in Any Specialization, Statistics, Data Informatics, Maths
Doctorate : Doctorate Not Required
Expected Start Date: 15/10/2020
Job Types: Full-time, Fresher
Salary: From ₹400,000.00 per year
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
Yes"
Clinical Data Specialist,"Bengaluru, Karnataka",Covance,0,Organic,"Job Overview: Ensure deliverables are produced in a timely and accurate manner and are in accordance with defined standards. Schedule work on a weekly basis to ensure that all tasks are covered; highlighting what resource is required from other departments. Work proactively to ensure that issues are raised in a timely fashion. Peer review of others work, providing feedback and training as appropriate. Manage a team of Data Entry and Quality Control staff to include managing performance and career development via the PMD process, regular catch-ups and status meetings ensuring that all reportees are aware of objectives at all times. Ensure that attention is also paid to interpersonal skills and achievement of competency standards. Review any individual issues with staff proactively and in a timely fashion, work with team members to resolve all issues in a supportive manner creating and maintaining performance plans as appropriate. Provide constructive feedback on an ongoing basis. Provide or organise training to staff on project-specific, local or global processes either in the form of mentoring or as ad hoc training. Manage administrative requirements for reportees e.g. holiday planning, timesheets and absence records. Aid in the recruitment process by reviewing applicants for positions and conducting interviews as appropriate. Induct staff for whom he/she is directly responsible. Interact and collaborate with internal and external customers in any department within CCRU or global Data Management to ensure successful project delivery. To include, but not limited to: providing training to any Covance employee or Sponsor, review of Covance or Sponsor process and documentation. Proactive involvement in process improvements. Good time management and organization skills, the ability to prioritize own work to meet tight deadlines while maintaining the highest standards of work. Effective communication skills; a co-operative and team orientated approach. Perform other related duties as assigned. Education/Qualifications:
Associates/BSc degree in biological science or a related discipline in the science/healthcare field or equivalent education Experience:
3-4 years of relevant Industry experience"
"Short Term Consultants, Data Science & Statistics",Remote,Busara Center for Behavioral Economics,0,Organic,"Introduction
Busara Center for Behavioral Economics (Busara) welcomes submissions for Expressions of Interest to consultants who specialise in Data Science and Statistics at an advanced level, for purposes of pre-qualification for the provision of their consulting services.
About Busara
Busara is a research and advisory firm dedicated to advancing behavioral science in the Global South. We help clients understand human behaviors and design solutions to scale products, programs and policies. We have been applying Behavioral Science for the last 5 years in Kenya, Uganda, Tanzania, Nigeria, Ethiopia, Peru, Fiji, and India.
Areas of Need
Consultants will be called upon to create, explore, evaluate and work on Busara projects, products and internal systems while collaborating with a multidisciplinary team on a wide range of projects. This is a hands-on role requiring someone who is comfortable with coding. Consultants will assist in the following areas:
Development and deployment of machine learning solutions
Extraction of data from SQL databases
Delivery of big data projects
Development of interactive dashboards in RShiny or Power BI
Evaluating experiments using quasi-experimental methods
Experience Required
Consultants will need to meet the following technical requirements:
At least 3 years’ experience in full-time use of R.
Experience in tackling machine learning problems in the areas of: classification, clustering, and prediction.
Working knowledge of analysing results of experiments such as A/B testing.
At least 3 years’ of working experience in the areas of Data Science, Data Analytics, and/or Statistics post-university.
Have completed undergraduate studies with at least a second class honours degree in: Mathematics, Computer Science, Statistics or relevant fields.
Experience with Survey CTO, ODK, or an equivalent survey tool is an added advantage.
Skills Required
Clear communicator both orally and written. Able to present technical information visually and in layman terms.
Able to quickly grasp project needs and identify appropriate deliverables that meet project objectives.
Ability to identify opportunities and use cases where advanced analytics can be applied.
Excellent collaborator requiring minimal follow-up.
Able to take ownership of deliverables and provide scientific or rational justification for approaches taken.
Keen eye for detail without losing the “big picture” in terms of project objectives.
Documents Required
Interested consultants are invited to submit the following:
Detailed curriculum vitae
Link to Github profile (optional)
Examples or descriptions of past work done (attach as cover letter)
All inclusive monthly rate for consulting services valid for 1 year - in Kenya Shillings or USD.
Academic and professional certificates will be requested of pre-qualified consultants
Terms
Consultants will be pre-qualified to provide services in the areas identified and thereafter be engaged on a need-basis. Individual consultants with academic or research backgrounds are encouraged to apply.
These are NOT full-time positions and will NOT translate into full-time employment at Busara.
Application Deadline: 16/10/2020
Job Types: Part-time, Temporary
Work Remotely:
Yes"
Teaching Faculty-JEE/NEET) JNV Odisha/Karnataka/Jharkhand/Ma...,Remote,Avanti Fellows,"₹2,50,000 - ₹4,50,000 a year",Organic,"About Avanti Fellows
*
Avanti runs the largest system-wide interventions for Math and Science learning in government schools in India. Our work spans nine Indian states with massive system-wide interventions in Haryana and the Jawahar Navodaya Vidyalaya Schools. Avanti’s work spans over 9 states and impacts over 8 lakh students in government schools.
*
*
Avanti uses the power of blended-learning, technology, and peer-instruction to create programs that are able to deliver consistent outcomes in low-resource settings without the need for hiring specialized teachers.
*
*
Avanti’s JNV program focuses on helping students at the Jawahar Navodaya Vidyalaya Schools (JNVs) prepare for college entrance exams. The JNVs are a network of 635 rural “magnet-schools” where >400,000 of India’s most gifted rural, low-income students are provided free residential education. Avanti sets up after-school programs in collaboration with school teachers that focus on additional test-prep for college entrance exams. Students going through the Avanti JNV program are twice as likely to be able to secure a position in professional education. 60% of students in Avanti supported schools cleared the national engineering exam, compared to a national average of 34%.
*
*
Overview of the Role – Program Associate
The Program Associate is the backbone of Avanti’s classroom responsible for the end-to-end operations for one Jawahar Navodaya Vidyalaya school including teaching, inspiring, training and motivating students towards achieving their learning goals.
Job Responsibilities
The role of a Program Associate involves the following tasks, functions and responsibilities:
1. Classroom Teaching and Management
* Conduct remote classes on Zoom
Prepare for classroom sessions with Presentation Slides in advance and teach students for ~30 hours a week using Avanti’s unique pedagogy in which students discuss conceptual questions with peers and work collaboratively on problem sets/assignments
Explains concepts with clarity in a creative & interesting way using real life examples.
Actively monitor students’ progress, their classwork and homework to ensure that they are on track to achieving their learning goals
Encourage self-discipline and punctuality in Avanti Classroom
2. Mentoring, Career Guidance and Academic Support
Build strong relationships with students through one-on-one interaction sessions, helping students overcome their problems – both academic and personal – in the process
Regularly work with students to break down their academic workload into small achievable goals; Track their progress on these goals
Debrief with students regularly on their test scores and classroom performance (both CBSE board and Avanti); suggesting ideas for improvement
Enable students to chalk out their future career paths by providing them with information about different options available to them based on their strengths and interests
3. Parent Engagement
Discuss student performance with their parents in person or over phone at least once a month.
Conduct Parent Teacher Meetings(PTMs) in schools at least once every 3 months and share aggregate and individual reports on student performance with parents
4. Data Analysis
Consistently collect and upload feedback about classroom and test performance on Avanti’s online learning management system
Quarterly analyse students’ performance and track high/low performers; provide necessary support.
Generate insights on reasons for poor student performance; devise solutions to address those problems
5. Additional Initiatives
Create a healthy learning culture by working on initiatives like (but not limited to) arranging expert guest sessions, organizing field trips/excursions, planning scientific debates in the classroom, etc.
Looking for Candidates with
Basic proficiency in using computer software
A laptop and uninterrupted internet connection with a minimum upload speed of 2 Mbps
A quiet room to conduct classes in
Full time degree in B.Sc./M.Sc./ B.E./B.Tech/M.Tech
Passion for teaching & working in the Education Sector.
Previous experience in teaching is a plus.
Proficiency in Class XI & XII Physics/Chemistry/Maths/Biology (one subject)
Belief that all students can learn and achieve their goals
Ability to connect with, inspire and motivate students
Strong interpersonal & communication skills
Note- Biology and Physics Teaching faculty required on Immediate basis.*
Salary Details**
CTC- 2.5 - 4.5LPA**
Location- JNV Odisha/Karnataka/Jharkhand/Maharashtra
(willing to move to one of the JNV residential campuses once schools reopen)
Job Type: Full-time
Salary: ₹250,000.00 - ₹450,000.00 per year
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
Temporarily due to COVID-19"
Data Science- Intern,"Pune, Maharashtra",Evolent Health,0,Organic,"Job title

Data Science- Intern

Work Location

Pune, MH, India

No of Positions

1

It’s Time For A Change…
Your Future Evolves Here
Evolent Health has a bold mission to change the health of the nation by changing the way health care is delivered. Our pursuit of this mission is the driving force that brings us to work each day. We believe in embracing new ideas, challenging ourselves and failing forward. We respect and celebrate individual talents and team wins. We have fun while working hard and Evolenteers often make a difference in everything from scrubs to jeans.
Are we growing? Absolutely—56.7% in year-over-year revenue growth in 2016. Are we recognized? Definitely. We have been named one of “Becker’s 150 Great Places to Work in Healthcare” in 2016 and 2017, and one of the “50 Great Places to Work” in 2017 by Washingtonian, and our CEO was number one on Glassdoor’s 2015 Highest-Rated CEOs for Small and Medium Companies. If you’re looking for a place where your work can be personally and professionally rewarding, don’t just join a company with a mission. Join a mission with a company behind it.

Position summary

Evolent is looking for a bright candidates to Join as Data Analyst Intern

Required:
Interested in building career path in Data Science and AI area
Bachelors/Masters’ Degree with a quantitative focus (e.g. mathematics, statistics, computer science or related programs preferred) from universities in top 3 tiers
Background with Data Analysis (statistical modelling, data analysis, python/R/
Good programming skills in either Python, Java , C++ , along with good understanding of data structures and algorithms

Good to Have:
Healthcare background
PhD related to computer science/statistics/engineering/math/physics data analysis field
Good to have Exposure to SQL and any one of the BI tools (Microstrategy, Tableau, PowerBI)

Academic Qualification
Bachelors/Masters’ Degree with a quantitative focus (e.g. mathematics, statistics, computer science or related programs preferred) from universities in the top 3 tiers"
Data Scientist Hiring through Machine Learning Internship!!,"Kochi, Kerala",Singularis Software Technologies,0,Organic,"We are providing a paid Job Internship program for fresher candidates in Software programming of a duration of 3-6 months.After completing the internship, the candidate will be placed in our company.
Candidate have to pay the cost of edification for the internship
Required Experience, Skills and Qualifications
Experience : Freshers
Qualification : B.Tech / M.Tech ( CS,IT,ECE )MCA/BCA,Bsc/Msc ( Computer Science )
Platform/ Language: Java, Android, PHP,.Net,Embedded,Software Testing, Phython, Machine Learning/Deep Learning/AI.
Benefits
Candidates will get One year Experience Certificate with placement assistance.
After successful completion of the training candidate will have a chance to work with Live project of our company and gain knowledge and experience as developers.
Job Types: Full-time, Internship
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)"
Data Science Faculty,"Bengaluru, Karnataka",GetMyUni,"₹7,00,000 - ₹9,00,000 a year",Organic,"About GetMyUni:
GetMyUni is a TimesInternet backed ed-tech startup with a vision to enable a student's post K-12 learning journey. We do that via our products which today serve over 40M+ users annually.
- Getmyuni.com (Study in India),
- Ieltsmaterial.com (Study abroad) - acquired: https://www.techcircle.in/2020/05/04/times-internet-backed-getmyuni-acquires-london-based-ielts-prep-platform/
- Thecollegemonk.com (Study in USA)
- Avagmah.com ( OPM - > enabling universities to offer end to end online degrees and certifications) - acquired: https://yourstory.com/2020/06/times-internet-getmyuni-online-learning-startup-avagmah
The job profile is for GMU Avagmah which is one of the leaders and one of the most respected in the online education space who has been helping leading Universities like Pondicherry University, Bharathidasan University , NIT Kurukshetra, IIM Calcutta, UCLA Extension, and many more go online and help admit 10s of 1000s of students from all over India and abroad
*Job Description:
We are one of the leaders in offering online courses on emerging technologies and some of the courses are offered in collaboration with NIT Kurukshetra.
*
*
The role of a Data Science Faculty is to conduct online classes to various batches who would have joined for our marquee online course, “Data Science Masters Bootcamp”. Batches would be during weekends and some could be on weekdays too. This job role can be taken up by part time faculty too for a retainer.
Job Responsibilities
Must prepare for giving lectures based on the teaching materials provided
Taking live sessions/ classes to the batch assigned
Must ensure to share pre-prepared coding tasks for the batch
Constant coordination with the batch SME (internal TAs) & GMU-Avagmah team on improving the quality
Develop high-quality content with zero plagiarism and create proper learning resources, assessments & projects for students
Grading Assignments and responding to queries from students and conducting live real time hand holding of assignments and projects of students
Skills Required
Should have experience of 2+ years in data science roles
Must have a good knowledge of Mathematics, Machine Learning, Python, Kaggle, Tableau, and understanding of related tools & technologies
Excellent verbal & written communication skills
Adaptive and enthusiastic, strong interpersonal skills
Remuneration:
For a permanent employee Ranges from Rs. 7 to 9 LPA
For a part time contract consultant this would be varied depending on years of experience
*
Job Type: Full-time
Salary: ₹700,000.00 - ₹900,000.00 per year
Experience:
work: 2 years (Required)
total work: 2 years (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
Temporarily due to COVID-19"
Customer Success Data Analyst,Remote,DirecTech Labs,0,Organic,"DirecTech Labs (US Based Headquarters in Los Angeles, California) is looking for passionate, talented, and highly motivated hands-on Business Data Analyst with a strong focus on Customer Experience, problem solving skills and database expertise to join its team in their Noida Development Center! This role will play an integral part in the growing and nurturing of our predictive analytics data science company. We are only looking for the very best of the best talent to join our exceptionally gifted team and amazing culture.
You are able to perform demographic, trend, and data analysis based on the needs of management.
You have the passion to find insights that identify the solutions to address business problems and opportunities for our customers
You have expertise in SQL, Excel, and Powerpoint
You have excellent communication and presentation skills with both internal and big corporate customers
You don't shy away from a challenge, are curious and looking to make a big impact.
Previous experience working in a customer centric role is desired
What You'll Get:
An amazing company culture that encourages creativity, personal growth, work/life balance, fun and teamwork.
The chance to work for a “data” company building “data” products.
Working with ""A Players"" across the organization.
Competitive salary, fully paid health benefits and paid vacation
DirecTech Labs is an Equal Opportunity, Affirmative Action Employer. Minorities, women, veterans, and individuals with disabilities are encouraged to apply. We provide equal opportunity in all employment matters without regard to race, color, religion, sex, gender, gender identity, gender expression, sexual orientation, marital status, national origin, ancestry, mental and physical disability, medical condition, age, genetic information, national origin, veteran status or any other status protected by federal, state, or local law, for all qualified applicants.
You have 2-5 years of related experience.
You have strong analytical skills (including mastery of Microsoft Excel) and experience with reporting and data analysis.
You have the ability to extract meaning and suggest action items from data, not just report metrics.
You are able to perform demographic, trend, and data analysis based on the needs of management.
You have the passion to find insights that identify the solutions to address business problems and opportunities for our customers
You have excellent communication and presentation skills with both internal and big corporate customers
You don't shy away from a challenge, are curious and looking to make a big impact.
Previous experience working in a customer centric role is desired"
Data Scientist,India,Lumiq,0,Organic,"Experience
You have a strong primary expertise as data scientist, with the ability to stretch beyond one’s core field of expertise
You have a strong research background in machine learning, deep learning, reinforcement learning
You have PhD or M Tech at least 2+ years of *relevant experience* as a strong contributor on a data science team
You have a relevant degree in Statistics, Math/Applied Math, Operations Research, Computer Science, Economics or Quantitative Finance
You have expertise in at least one analytics function: attribution, segmentation, response modelling, churn, propensity, customer LTV, supply chain / logistics, geospatial inference, recommend-er systems, causal inference, forecasting, pricing, NLP or image/speech processing.
You are proficient in R/Python, particularly to prototype mathematical models
You know SQL and are familiar working with at least one of the tools - Tableau, R-Shiny/or other data visualisation tools
You are able to scope and define data sets needed for specific use cases and identifying data gaps
You are able to translate scientific insights into product decisions and work streams
You have good communication skills
You can manage customers – ability to lead and persuade, positive energy, relentless focus on business impact
Must Have Skills
Python
Sklearn / Scikit
NLP
Jupyter
Pandas
Numpy
Matplotlib
Good to have Skills
R Language
Tensorflow / Keras
Caffe
Pytorch
OpenCV
Tableau

Location: Noida"
Data Analyst,"Bengaluru, Karnataka",Tekion,0,Organic,"At Tekion, we're building the only cloud-native platform that is transforming the automotive retail industry, leapfrogging it into the future and providing unparalleled customer experience. Weekly re creating seamlessly integrated, elegant, and intuitive solutions built with cutting edge technology and powered by Big Data, Machine Learning (ML)/ AI and Internet of Things (Connected vehicle to connected devices). We're harnessing passion, entrepreneurial spirit, deep industry expertise and the latest technologies to create something very special. We're inventing new technology along the way to overcome barriers and solve big problems, all while having a blast doing it!
The Opportunity
Tekion is looking for a talented Data Analyst who wants to be part of building the next-generation business applications on the cloud. The analyst will use his/her passion and expertise in creating world-class products. He/she will collaborate with the product and engineering /Analytical teams and development managers to create the business application of the future.
Responsibilities
Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions
Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques, and business strategies
Assess the effectiveness and accuracy of new data sources and data gathering techniques
Develop custom data models and algorithms to apply to data sets
Coordinate with different functional teams to implement models and monitor outcomes
Develop processes and tools to monitor and analyze model performance and data accuracy
Qualifications
Master's or Ph.D. in Statistics, Mathematics, Computer Science or another quantitative field
2-7 years of experience manipulating data sets and building statistical models
Strong problem-solving skills with an emphasis on product development
Experience using statistical computer languages (R, Python, etc.) to manipulate data and draw insights from large data sets
Experience working with and creating data architectures
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests, and proper usage, etc.) and experience with applications
Excellent written and verbal communication skills for coordinating across teams
A drive to learn and master new technologies and techniques
Perks and Benefits
Competitive compensation
Generous stock options
Medical Insurance coverage
Work with some of the brightest minds from Silicon Valley’s most dominant and successful companies
Location:
Bangalore"
