Title,Location,Company,Salary,Sponsored,Description
Urgent Hiring Python Django Developer,"Ahmedabad, Gujarat",Swan Softweb Solutions,"₹15,000 - ₹25,000 a month",Organic,"#Experience : - 1 to 2 years
#NoFresher
#Candidates must be from Gujarat.
Job Description: -
Django/flask framework project development experience.
Create functions for data calculation (arithmetic functions with conditions)
Engage and be actively involved in customer requirements
Perform assigned daily tasks and respond immediately to issues/problems
Involve in unit/integration testing frameworks and practices
Design, Implement and Interacting with databases
Maintain and troubleshoot complex systems
Work in SCRUM / Agile environment
What we offer
Best in class salary
Alternate Saturdays Off.
A peaceful and friendly work environment.
Generous leave policy.
Opportunity to work on new and challenging technologies.
Monthly engagement activities.
Job Type: Full-time
Salary: ₹15,000.00 - ₹25,000.00 per month
Experience:
total work: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Location:
Ahmedabad, Gujarat (Preferred)
Work Remotely:
No"
Web Developer,"Thane, Maharashtra",Crezvatic Private Limited,"₹15,000 - ₹25,000 a month",Organic,"Web Developer - Min 1 year experience however freshers are also welcome
Job brief
We are looking for an outstanding Web Developer to be responsible for the coding, innovative design and layout of our website. Web developer responsibilities include building our website from concept all the way to completion from the bottom up, fashioning everything from the home page to site layout and function. ** Should be an expert with Codeignitor""
Responsibilities
Write well designed, testable, efficient code by using best software development practices
Create website layout/user interface by using standard HTML/CSS practices
Integrate data from various back-end services and databases
Gather and refine specifications and requirements based on technical needs
Create and maintain software documentation
Be responsible for maintaining, expanding, and scaling our site
Stay plugged into emerging technologies/industry trends and apply them into operations and activities
Cooperate with web designers to match visual design intent
Requirements
Proven working experience in web programming
Top-notch programming skills and in-depth knowledge of modern HTML/CSS
Familiarity with at least one of the following programming languages: PHP, ASP.NET, JavaScript or codeignitor
A solid understanding of how web applications work including security, session management, and best development practices
Adequate knowledge of relational database systems, Object Oriented Programming and web application development
Hands-on experience with network diagnostics, network analytics tools
Basic knowledge of Search Engine Optimization process
Aggressive problem diagnosis and creative problem solving skills
Strong organizational skills to juggle multiple tasks within the constraints of timelines and budgets with business acumen
Ability to work and thrive in a fast-paced environment, learn rapidly and master diverse web technologies and techniques.
BS in computer science or a related field
Job Type: Full-time
Salary: ₹15,000.00 - ₹25,000.00 per month
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
CSS/CSS3, HTML, ASP.net, MVC, PHP, Mysql: 1 year (Required)
Education:
Bachelor's (Required)
Location:
Thane, Maharashtra (Required)
Language:
English, Marathi, Hindi (Required)
Required travel:
50% (Required)
Programming Languages needed:
CSS (Required)
JavaScript (Required)
Java (Required)
C++ (Required)
Python (Required)
PHP (Required)
.NET (Required)
HTML (Required)
Industry:
Marketing
Work Remotely:
No"
Python Developer (django),"Hyderabad, Telangana",BOPBO,0,Organic,"Job Description
We are looking for a highly skilled computer programmer who is comfortable with both front and back end programming. Full Stack Developers are responsible for developing and designing front end web architecture, ensuring the responsiveness of applications and working alongside graphic designers for web design features, among other duties.
*
Full Stack Developers will be required to see out a project from conception to final product, requiring good organizational skills and attention to detail.
*
*
Duties / Responsibilities
Build a framework for handling large volumes of data.
Scaling API's with lowest response times.
Develop and deploy new features to facilitate related procedures and tools if necessary
Write “clean”, well-designed and documented code
Contribute in all phases of the development lifecycle
Troubleshoot, test and maintain the core product software and databases to ensure strong optimization and functionality
Responsible for maintaining existing applications, including version upkeep, bug fixes, and implementing new features and capabilities.
Involved in designing, implementing, and deploying new in-house applications.
Follow industry best practices
Qualifications
Must have extensive Python development experience
Good python scripting and hands-on experience with Django framework
Experience managing full stack, multi-language, multi-framework software development
Front-End: Good understanding of front-end technologies, such as Object Oriented JavaScript, HTML5, and CSS3. Should have knowledge of Angular JS, Bootstrap, Express JS, Node JS etc.
Be familiar with an agile development cycle and have experience with Git, Python (fundamentals and skill valued) and Django.
Back-end: Proficient in developing APIs across different platforms of web application servers.
Experience in web server technologies in Django/Python is necessary.
Database: Able to understand RDBMS schema and develop software to access data via SQL queries or DB mapper. Familiarity with SQL/NoSQL (PostgreSQL, MySQL, MongoDB) databases and their declarative query languages
Experience with social media APIs is also recommended.
Experience and/or interest in data science, including but not limited to AI, machine learning, sentiment analysis, topic modeling, and NLP, is recommended.
Experience with textual analysis is also recommended.
Our technology stack includes: Python, AWS, SQL, Javascript, Google Cloud Services, and social media APIs
Strong communication skills, both verbal and written, and the ability to listen effectively
*
Contract length: 24 months
Job Type: Contract
Work Remotely:
Yes"
Python Developer,"Kochi, Kerala",Turbolab Technologies,"₹15,000 a month",Organic,"We are looking for highly motivated and uniquely talented Python Developers to join our Data Team. Our team includes a diverse range of technical backgrounds and areas of subject expertise and is responsible for aggregation, transformation, analysis and visualisation of large amounts of data from the web, to help our customers make smarter data-driven decisions. We are looking for someone with the creativity, technical skills, attention to detail, and enthusiasm to join our team and help leverage data to enable enterprises to grow their business.
Skill & Experience
Proficiency in Python.
Experience in using version control (preferably Git) in projects.
Good understanding of web technologies (HTML, JavaScript, CSS, XPath, JSON, etc.)
Experience in extracting, cleaning, and structuring data from unstructured or semi-structured sources.
Familiarity with data processing tools (pandas, regex, SQL).
Good knowledge of databases and ORM tools.
Ability to- work independently, prioritize tasks and take initiatives.
Ability to document requirements and specifications.
Excellent time-management, multi-tasking, communication and interpersonal skills.
Perks of Working at Turbolab
We are a fun-loving company composed of energetic and talented individuals in a low-stress atmosphere. You will be a part of the family, with little or no job hierarchy. You'll have a lot of room to improve yourself and grow into bigger roles and you develop as an individual.
Flexible Vacations
We believe in a flexible vacation policy. The idea: You’re free to take as much time off as you choose, as long as you get the job done. It’s a focus on producing great results, rather than just putting in the hours.
A Relaxed Environment
A flexible work environment. We have no fixed schedule, almost no meetings, and a light-weight process. Work from anywhere and whenever you want, as long as you get the job done.
Job Types: Full-time, Fresher
Salary: ₹15,000.00 per month
COVID-19 considerations:
Our company is working fully remote until this COVID-19 issue settles. Your onboarding, training and everything will be done remotely.
Location:
Kochi, Kerala (Preferred)
Application Question:
What is your current CTC?
Selection rounds:
HR Interview
Technical Interview
Industry:
Software Development
Work Remotely:
Temporarily due to COVID-19"
Python Developer,"Ahmedabad, Gujarat",Green Apex Technolabs,0,Organic,"Looking forward to see enthusiastic developer apply for this job who have willingness to dive deep in python web framework like Django and Flask.
Also an opportunity to work in data science and AI Ml surrounded work culture with interesting projects around.
Experience min 2 years.
Location: Ahmedabad
Job Type: Full-time
Schedule:
Day shift
Experience:
work: 2 years (Required)
Python: 2 years (Preferred)"
Python Developer,"Ahmedabad, Gujarat",Citrusbug Technolabs,"₹50,000 a month",Organic,"We are looking for a Python Developer to join our team responsible for managing the interchange of data between the server and the users. Your primary focus will be the development of all server-side logic, ensuring high performance and responsiveness to requests from the front-end. You will also be responsible for integrating the front-end elements built by your co-workers into the application; therefore, a basic understanding of front-end technologies is necessary as well.
Opportunity
A Competitive Salary
Retention Bonus for all
An Exciting & Diverse Workload
A nice Office infrastructure
5 days working
Latest Tools needed to do the job
Scope of speedy career growth
Supportive & Friendly Work Culture
Bi-weekly fun activity Events
We love to party so expect a busy social calendar!
Responsibilities
Write reusable, testable, and efficient code
Design and implement of low-latency, high-availability, and performant applications
Integration of user-facing elements developed by front-end developers with server-side logic
Implementation of security and data protection
Integration of data storage solutions
Performance tuning, improvement, balancing, usability, automation
Work collaboratively with the design team to understand end-user requirements to provide technical solutions and for the implementation of new software features
Qualifications
B.Tech / M.Tech
Skills
Python
Django / Flask
Rest API
PostGreSQL / MongoDB
Dockers
Kubernetes
Git
HTML
CSS
Job Type: Full-time
Salary: Up to ₹50,000.00 per month
Experience:
Software Development: 3 years (Preferred)
Python: 3 years (Preferred)
Education:
Bachelor's (Preferred)
Location:
Ahmedabad, Gujarat (Preferred)
Work Remotely:
Temporarily due to COVID-19"
Software Developer / Software Engineer (Freshers),"Hyderabad, Telangana",Hyderabad Insitute For Training & Development,0,Organic,"We are looking for a Python Developer to join our team responsible for managing the interchange of data between the server and the users. Your primary focus will be the development of all server-side logic, ensuring high performance and responsiveness to requests from the front-end. You will also be responsible for integrating the front-end elements built by your co-workers into the application; therefore, a basic understanding of front-end technologies is necessary as well.
Opportunity
A Competitive Salary
Retention Bonus for all
An Exciting & Diverse Workload
A nice Office infrastructure
5 days working
Latest Tools needed to do the job
Scope of speedy career growth
Supportive & Friendly Work Culture
Bi-weekly fun activity Events
We love to party so expect a busy social calendar!
Responsibilities
Write reusable, testable, and efficient code
Design and implement of low-latency, high-availability, and performant applications
Integration of user-facing elements developed by front-end developers with server-side logic
Implementation of security and data protection
Integration of data storage solutions
Performance tuning, improvement, balancing, usability, automation
Work collaboratively with the design team to understand end-user requirements to provide technical solutions and for the implementation of new software features
Qualifications
B.Tech / M.Tech
Skills
Python
Django / Flask
Rest API
PostGreSQL / MongoDB
Dockers
Kubernetes
Git
HTML
CSS
Job Type: Full-time
Salary: Up to ₹50,000.00 per month
Experience:
Software Development: 3 years (Preferred)
Python: 3 years (Preferred)
Education:
Bachelor's (Preferred)
Location:
Ahmedabad, Gujarat (Preferred)
Work Remotely:
Temporarily due to COVID-19"
Python Odoo Developer,"Ahmedabad, Gujarat",Asti Technologies,"₹10,000 - ₹40,000 a month",Organic,"Skills:
1. Strong knowledge of Python and OOP Concepts
2. Knowledge of ODOO Module Customization Creation
3. ERP Process flow and Functional Knowledge
4. Eager to adopt new technologies.
5. Ability to understand complex Requirements.
6. Ability to understand the process flow
Joining: Immediate.
Call : 87806 74399 for Interview schedule and other details.
Job Types: Full-time, Fresher
Salary: ₹10,000.00 - ₹40,000.00 per month
Experience:
total work: 1 year (Preferred)
Python: 1 year (Preferred)
Work Remotely:
Temporarily due to COVID-19"
Python Developer,Remote,My Menu,"₹35,000 - ₹55,000 a month",Organic,"Expert in Python and Django framework
Experience in Django-Rest framework
Good programming experience & OOPs concepts
Knowledge and work experience of React.js is a plus
Good verbal and written communication skills.
Minimum industry experience of 3-4 years preferred
Drop your resumes to techhead(at)techmte(dot)com with below details:
Total years of experience:
Relevant experience and skills:
Current CTC:
Expected CTC:
Native place:
Currently Employed? If yes, Notice Period? Is the Notice period Negotiable?
If not employed - Last working date:
Application Deadline: 1/11/2020
Job Type: Full-time
Salary: ₹35,000.00 - ₹55,000.00 per month
Schedule:
Flexible shift
Experience:
Django: 3 years (Preferred)
Python: 3 years (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
Yes"
Converge Health Application Developer (NodeJS or Python) – C...,"Bengaluru, Karnataka",Deloitte,0,Organic,"Expert in Python and Django framework
Experience in Django-Rest framework
Good programming experience & OOPs concepts
Knowledge and work experience of React.js is a plus
Good verbal and written communication skills.
Minimum industry experience of 3-4 years preferred
Drop your resumes to techhead(at)techmte(dot)com with below details:
Total years of experience:
Relevant experience and skills:
Current CTC:
Expected CTC:
Native place:
Currently Employed? If yes, Notice Period? Is the Notice period Negotiable?
If not employed - Last working date:
Application Deadline: 1/11/2020
Job Type: Full-time
Salary: ₹35,000.00 - ₹55,000.00 per month
Schedule:
Flexible shift
Experience:
Django: 3 years (Preferred)
Python: 3 years (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
Yes"
