Title,Location,Company,Salary,Sponsored,Description
Hybrid Mobile Developer for a Product Based Company,"Bengaluru, Karnataka",Shaw Academy,"₹15,00,000 a year",Organic,"Roles and responsibilities:
Cross-platform mobile app developers who have developed mobile apps with a familiarity of Ionic/Flutter
Develop and Manage Mobile Application in Hybrid - Android / iOS Platform
Mobile app architecture planning
Mobile app design and optimization, able to provide a solution to improve mobile app quality, understand emerging technologies, standards and best practices to bring mobile app product to the next level
Continuously discover, evaluate, and implement new technologies and frameworks to maximize development efficiency
Estimate timelines and deliver as per schedule
Solid knowledge of mobile app development practices, along with mobile testing tools and techniques
Expertise in optimizing the app for performance
Experience using agile principles and methodologies
Deep understanding of the mobile landscape and behavior patterns is mandatory
Required Skills:
Experience using web services (HTTP, REST, SOAP) using JSON.
Good knowledge of object-oriented design patterns and Multi-threading concepts
Good knowledge of the SQLite database and the Google Play Services like Push Notifications
Strong mobile UI design (multi-screen resolutions), coding, support and maintenance
Knowledge of HTML5, JavaScript, and the third-party API (like Facebook, Twitter, etc.) will be added advantage
Experience with third-party libraries and APIs
Proficient iOS and Android mobile app experience are a plus
Experience:
Minimum 3 years of hands on experience
Write clean, manageable code and maintain proper documentation
Excellent command over Data Structures and Algorithms
Familiarity with continuous integration
Strong problem solving and analytical skills
Knowledge of benchmarking and optimization
Security mindedness in development practices
Collaborate with cross-functional teams to define, design and deliver new features
Ability to work independently in small teams
Responsible and capable of meeting tight deadlines
Job Type: Full-time
Salary: Up to ₹1,500,000.00 per year
Experience:
Hybrid Mobile Tech: 1 year (Preferred)
Andriod or iOS: 1 year (Preferred)"
Web Developer,"Bhopal, Madhya Pradesh",JPG ECLECTIC EDUCATION PVT LTD,0,Organic,"Roles and responsibilities:
Cross-platform mobile app developers who have developed mobile apps with a familiarity of Ionic/Flutter
Develop and Manage Mobile Application in Hybrid - Android / iOS Platform
Mobile app architecture planning
Mobile app design and optimization, able to provide a solution to improve mobile app quality, understand emerging technologies, standards and best practices to bring mobile app product to the next level
Continuously discover, evaluate, and implement new technologies and frameworks to maximize development efficiency
Estimate timelines and deliver as per schedule
Solid knowledge of mobile app development practices, along with mobile testing tools and techniques
Expertise in optimizing the app for performance
Experience using agile principles and methodologies
Deep understanding of the mobile landscape and behavior patterns is mandatory
Required Skills:
Experience using web services (HTTP, REST, SOAP) using JSON.
Good knowledge of object-oriented design patterns and Multi-threading concepts
Good knowledge of the SQLite database and the Google Play Services like Push Notifications
Strong mobile UI design (multi-screen resolutions), coding, support and maintenance
Knowledge of HTML5, JavaScript, and the third-party API (like Facebook, Twitter, etc.) will be added advantage
Experience with third-party libraries and APIs
Proficient iOS and Android mobile app experience are a plus
Experience:
Minimum 3 years of hands on experience
Write clean, manageable code and maintain proper documentation
Excellent command over Data Structures and Algorithms
Familiarity with continuous integration
Strong problem solving and analytical skills
Knowledge of benchmarking and optimization
Security mindedness in development practices
Collaborate with cross-functional teams to define, design and deliver new features
Ability to work independently in small teams
Responsible and capable of meeting tight deadlines
Job Type: Full-time
Salary: Up to ₹1,500,000.00 per year
Experience:
Hybrid Mobile Tech: 1 year (Preferred)
Andriod or iOS: 1 year (Preferred)"
HTML Developer,Remote,Appening Infotech,0,Organic,"Roles and responsibilities:
Cross-platform mobile app developers who have developed mobile apps with a familiarity of Ionic/Flutter
Develop and Manage Mobile Application in Hybrid - Android / iOS Platform
Mobile app architecture planning
Mobile app design and optimization, able to provide a solution to improve mobile app quality, understand emerging technologies, standards and best practices to bring mobile app product to the next level
Continuously discover, evaluate, and implement new technologies and frameworks to maximize development efficiency
Estimate timelines and deliver as per schedule
Solid knowledge of mobile app development practices, along with mobile testing tools and techniques
Expertise in optimizing the app for performance
Experience using agile principles and methodologies
Deep understanding of the mobile landscape and behavior patterns is mandatory
Required Skills:
Experience using web services (HTTP, REST, SOAP) using JSON.
Good knowledge of object-oriented design patterns and Multi-threading concepts
Good knowledge of the SQLite database and the Google Play Services like Push Notifications
Strong mobile UI design (multi-screen resolutions), coding, support and maintenance
Knowledge of HTML5, JavaScript, and the third-party API (like Facebook, Twitter, etc.) will be added advantage
Experience with third-party libraries and APIs
Proficient iOS and Android mobile app experience are a plus
Experience:
Minimum 3 years of hands on experience
Write clean, manageable code and maintain proper documentation
Excellent command over Data Structures and Algorithms
Familiarity with continuous integration
Strong problem solving and analytical skills
Knowledge of benchmarking and optimization
Security mindedness in development practices
Collaborate with cross-functional teams to define, design and deliver new features
Ability to work independently in small teams
Responsible and capable of meeting tight deadlines
Job Type: Full-time
Salary: Up to ₹1,500,000.00 per year
Experience:
Hybrid Mobile Tech: 1 year (Preferred)
Andriod or iOS: 1 year (Preferred)"
HTML Developer,"Dwarka, Delhi, Delhi",SAER Technologies Pty. Ltd,"₹15,000 - ₹20,000 a month",Organic,"Job Summary
We are looking for creative HTML Developer.
TOTAL EXPERIENCE - 1 TO 3 YEARS
LOCATION - Dwarka Mor (Local Candidates Preferred)
Requirements -
Must know HTML, CSS, JavaScript, and Bootstrap.
Creating HTML Pages in HTML5 / CSS3 and JavaScript.
Maintenance of the sites and updating them.
Ensuring design colours , fonts , images are in tune with layout.
Job Types: Full-time, Walk-In
Salary: ₹15,000.00 - ₹20,000.00 per month
Schedule:
Morning shift
Experience:
work: 1 year (Preferred)
web designing: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Industry:
Software Development
Work Remotely:
Yes"
Developer - Javascript,"Bengaluru, Karnataka",Jivox,"₹3,50,000 - ₹7,50,000 a year",Organic,"Experience: 1 to 4 years of experience
Shift Timings: 1pm-10pm / 7pm-4am
Relevant experience in Javascript: Min 1 year
Must Have
Hands-on in HTML5 and CSS3 and JavaScript
Good Knowledge of jQuery, GreenSock, JSON and XML
Good to have cross-browser / Cross-platform compatibility knowledge.
Unit testing skills
Debugging skills
Know how to slice and dice images using Photoshop
Should able to write the code using the mentioned technologies and should be able to debug over multiple OS across browsers
Good to Have
Experience in PHP, MySQL
Knowledge of Adobe Animate (Canvas)
Knowledge of Adobe Edge
Knowledge of Google Web Designer (GWD)
Knowledge in Digital Marketing
Soft Skills requirement:
Excellent and effective communication skills.
Good interpersonal skills.
Be flexible and approachable at all times.
Education: Bachelor’s degree in Engineering or equivalent experience within the field.
Job Type: Full-time
Salary: ₹350,000.00 - ₹750,000.00 per year
Experience:
Javascript: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
Temporarily due to COVID-19"
Full Stack (AEM) Web Developer - Channel Marketing Execution,"Bengaluru, Karnataka","JPMorgan Chase Bank, N.A.",0,Organic,"Position summary:
The Full Stack Web Developer will report to the Technology Manager of Core Digital. You'll be part of a cross-functional team that's responsible for the full software development life cycle, from conception to deployment. As a full stack developer, you should be comfortable with both front-end and back-end coding languages, development frameworks and third-party libraries.
Responsibilities
Web UI development
o Build web components and templates for our digital properties through Adobe Experience Manager (AEM) and/or latest HTML framework
o Work from supplied wire frames and functional requirements to build web interfaces using HTML, JavaScript, and CSS, and work with team to integrate with back-end systems.
o Write effective APIs as needed
o Build features and applications with a mobile responsive design
o Test software to ensure responsiveness and efficiency
o Troubleshoot and resolve cross-browser and cross-platform issues.
o Optimize web sites for maximum speed and scalability
o Manage day-to-day efforts to ensure smooth & efficient delivery to include production updates, code changes, and collaboration on new initiatives
o Collaborate with other developers
o Write technical documentation
o Remain current with the latest digital design trends and tools
o Handle production work, as needed, to meet project deadlines
Collaboration with design, product owner, and content production teams
o Collaborate with teams to ensure design quality and consistency of web pages.
o Validate UI/UX designs for technical feasibility
o Assist with requirements definition, specifications, design, development and timelines for key initiatives
Recommended Qualifications
Strong foundation in web development
HTML5 (required)
CSS3 (required) and CSS pre-processors (Less preferred)
JavaScript (JQuery preferred)
Asynchronous request handling, partial page updates, and AJAX
Experience with modern web frameworks (Bootstrap preferred; Node.js/React a plus)
Solid understanding of responsive design
Experience with Java and Maven
Experience with web site optimization
Proficient understanding of cross-browser compatibility issues and ways to work around them
Knowledge of optimizing graphics for different platforms
Good understanding of SEO principles
Experience adhering to ADA WCAG 2.0 AA standards (preferred)
Experience with Content Management Systems - Adobe Experience Manager (AEM) 6.x preferred
HTML Templating Language (HTL) and Sightly
Component development
Proficient understanding of code versioning tools (Git, BitBucket preferred)
Proven success working in a dynamic, fast-paced environment
Ability to manage multiple, on-going timelines, as well as ad-hoc ""rush"" requests
Ability to organize and prioritize workload
Flexibility to adapt to changing design requirements
Outstanding attention to detail
Strong communication and presentation skills with audiences across all levels
Degree in Computer Science or related fieldJPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management.
We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs."
Associate Software Engineer,"Gurgaon, Haryana",Dec6 Consulting Private Limited,"₹10,000 - ₹20,000 a month",Organic,"Roles and Responsibilities
Introduction
As an Associate Software Engineer, you will lead Dec6 into the future by translating system requirements into the design and development of customized systems in an agile environment. The success of Dec6 is underpinned by its resources who would transform vital business needs into code and drive innovation. Your work will power Dec6 and its clients globally, collaborating and integrating code into enterprise systems. You will have access to the latest education, tools and technology, and a limitless career path with the world’s technology leader. Come to Dec6 and make a global impact!
As an Associate Software Engineer, your day in the role will include…
Development, implementation and providing solutions to the given problem in all the Web technologies
Build together end to end application starting from front end web development, back end development, middleware integration and persisting data in no SQL or DBMS database
Strong into trends and directions of the Industry, marketplace and the players
Provide objective guidance without personal or political considerations
You will come with…
Sound knowledge in OOP concepts well. Should be proficient in exception handling , collections, Abstract Classes and Interfaces, Constructors, File IO and Serialization, Collections (List, Map, Set), Access Specifiers, Exceptions (Checked, Unchecked), Generics, Java Keywords (Static, Final, Volatile, Synchronized, Transient), JVM and Memory Management, Multithreading and Synchronization, JSP/ Servlets,JMS . Should be skilled in one of the IDEs like Eclipse , IntelliJ. Should be conversant with Build tools like Ant , Maven.
Working knowledge in HTML 5 , CSS3, Angular JS, Spring MVC, Spring Boot, REST API, JUnit, React
How we’ll help you grow:
You’ll have access to all the technical and management training material that will help you
You’ll learn directly from guide developers in the field; our team leads love to mentor
You have the opportunity to work in many different areas to identify what really excites you
Required Technical and Professional Expertise
Java 8 , JEE, Spring Core, Spring Boot, Spring MVC, REST , Hibernate, Angular JS , Node JS, CSS3 , HTML5, Any RDBMS database (DB2, Postgre, MYSQL, Oracle etc.) and Sql knowledge , Git , Maven, Eclipse / Intellij, Design Patterns
Preferred Technical and Professional Expertise
AWS, GCP, or any cloud based development
Please drop in your CV at our Facebook, Instagram or Linkedin page.
Contract length: 6 months
Expected Start Date: 26/10/2020
Job Types: Contract, Fresher
Salary: ₹10,000.00 - ₹20,000.00 per month
Schedule:
Monday to Friday
Morning shift
Supplemental Pay:
Performance bonus
Experience:
Web Development: 1 year (Preferred)
Mobile App Development: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)
Work Remotely:
Yes"
Web Developer and Designer,"Chennai, Tamil Nadu",Getit In Net pvt ltd,"₹1,41,639 - ₹3,95,565 a year",Organic,"We are global firm operating remote offices and we looking for web development and designer fresher
Work on web design
Work on web development
Contact 7358473874
Support Team
Job Types: Full-time, Part-time, Fresher, Walk-In
Salary: ₹141,639.00 - ₹395,565.00 per year"
Web Developer,Gujarat,Logistic Infotech,0,Organic,"We are global firm operating remote offices and we looking for web development and designer fresher
Work on web design
Work on web development
Contact 7358473874
Support Team
Job Types: Full-time, Part-time, Fresher, Walk-In
Salary: ₹141,639.00 - ₹395,565.00 per year"
Web Designer & Developer,"Mumbai, Maharashtra",Nebula Interactive,"₹25,000 a month",Organic,"We are a fast-growing digital marketing company, We are looking for a website developer, Who know's
- Opencart Framework
- HTML Framework
if She/He knows WordPress that will add on
Also well versed with website customization & database creation
Job Type: Full-time
Salary: Up to ₹25,000.00 per month
Schedule:
Day shift
Experience:
Website Development : 1 year (Required)
Work Remotely:
Temporarily due to COVID-19"
